candidate,cell,status,error_class,failed_step,elapsed_s,run_id,profile_id,pipeline_id,target_profile_id,score_version,notes,project_id,round_id,candidate_id,source,target_profile,s21_5g_db,s21_6g_db,s21_7g_db,s21_8g_db,s21_9g_db,passband_min_s21_db,passband_ripple_db,worst_s11_6_8_db,worst_s22_6_8_db,margin_s21_5g_db,margin_s21_6g_db,margin_s21_8g_db,margin_passband_min_s21_db,margin_passband_ripple_db,margin_worst_s11_6_8_db,margin_worst_s22_6_8_db,run_dir
pixel_qr16_fr4_210um_r5_01_r4_03_via_mid_edge,pixel_qr16_fr4_210um_r5_01_r4_03_via_mid_edge_mm_coords,TUNE,,,44.615,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r5_01_r4_03_via_mid_edge_home_20260802_012628,home,pixel_qr_bpf_fr4_210um_home_r5_via_notch_1to10,fr4_25db_rl6,fr4_i7_score_v1,R5 via-aware 5 GHz notch probe; base=pixel_qr16_fr4_210um_r4_03_toggle02_03_add04_02_keep_a03 (balanced passband base); via_set=mid_edge; via_count=2; via_diameter_mm=0.18; via_pad_diameter_mm=0.3; one mirrored pair on the main center row near the side edge. Guard 6G/8G S21 before expanding this family.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r5_01_r4_03_via_mid_edge,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r5_via_notch_1to10\pixel_qr16_fr4_210um_r5_01_r4_03_via_mid_edge_mm_coords_rfpro.csv,fr4_25db_rl6,-22.23,-8.50,-9.46,-15.73,-4.64,-15.73,14.22,-0.46,-0.46,-2.77,-3.50,-10.73,-10.73,-10.22,-5.54,-5.54,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r5_via_notch_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r5_01_r4_03_via_mid_edge_home_20260802_012628
pixel_qr16_fr4_210um_r5_02_r4_03_via_mid_inner,pixel_qr16_fr4_210um_r5_02_r4_03_via_mid_inner_mm_coords,TUNE,,,51.75,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r5_02_r4_03_via_mid_inner_home_20260802_013002,home,pixel_qr_bpf_fr4_210um_home_r5_via_notch_1to10,fr4_25db_rl6,fr4_i7_score_v1,R5 via-aware 5 GHz notch probe; base=pixel_qr16_fr4_210um_r4_03_toggle02_03_add04_02_keep_a03 (balanced passband base); via_set=mid_inner; via_count=2; via_diameter_mm=0.18; via_pad_diameter_mm=0.3; one mirrored pair on the main center row inside the side edge. Guard 6G/8G S21 before expanding this family.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r5_02_r4_03_via_mid_inner,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r5_via_notch_1to10\pixel_qr16_fr4_210um_r5_02_r4_03_via_mid_inner_mm_coords_rfpro.csv,fr4_25db_rl6,-15.71,-3.94,-1.98,-0.83,-10.27,-3.94,3.26,-3.04,-3.00,-9.29,1.06,4.17,1.06,0.74,-2.96,-3.00,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r5_via_notch_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r5_02_r4_03_via_mid_inner_home_20260802_013002
pixel_qr16_fr4_210um_r5_03_r4_03_via_center_bridge,pixel_qr16_fr4_210um_r5_03_r4_03_via_center_bridge_mm_coords,TUNE,,,52.661,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r5_03_r4_03_via_center_bridge_home_20260802_012713,home,pixel_qr_bpf_fr4_210um_home_r5_via_notch_1to10,fr4_25db_rl6,fr4_i7_score_v1,R5 via-aware 5 GHz notch probe; base=pixel_qr16_fr4_210um_r4_03_toggle02_03_add04_02_keep_a03 (balanced passband base); via_set=center_bridge; via_count=2; via_diameter_mm=0.18; via_pad_diameter_mm=0.3; one mirrored pair on the center bridge close to the feed axis. Guard 6G/8G S21 before expanding this family.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r5_03_r4_03_via_center_bridge,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r5_via_notch_1to10\pixel_qr16_fr4_210um_r5_03_r4_03_via_center_bridge_mm_coords_rfpro.csv,fr4_25db_rl6,-6.59,-0.56,-0.98,-7.23,-15.30,-7.23,6.80,-1.28,-1.29,-18.41,4.44,-2.23,-2.23,-2.80,-4.72,-4.71,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r5_via_notch_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r5_03_r4_03_via_center_bridge_home_20260802_012713
pixel_qr16_fr4_210um_r5_04_r4_03_via_upper_side,pixel_qr16_fr4_210um_r5_04_r4_03_via_upper_side_mm_coords,TUNE,,,34.816,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r5_04_r4_03_via_upper_side_home_20260802_013054,home,pixel_qr_bpf_fr4_210um_home_r5_via_notch_1to10,fr4_25db_rl6,fr4_i7_score_v1,R5 via-aware 5 GHz notch probe; base=pixel_qr16_fr4_210um_r4_03_toggle02_03_add04_02_keep_a03 (balanced passband base); via_set=upper_side; via_count=2; via_diameter_mm=0.18; via_pad_diameter_mm=0.3; one mirrored pair on upper side-stub metal. Guard 6G/8G S21 before expanding this family.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r5_04_r4_03_via_upper_side,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r5_via_notch_1to10\pixel_qr16_fr4_210um_r5_04_r4_03_via_upper_side_mm_coords_rfpro.csv,fr4_25db_rl6,-12.88,-2.02,-11.97,-15.77,-18.31,-15.77,13.75,-0.22,-0.22,-12.12,2.98,-10.77,-10.77,-9.75,-5.78,-5.78,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r5_via_notch_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r5_04_r4_03_via_upper_side_home_20260802_013054
pixel_qr16_fr4_210um_r5_05_r4_03_via_row6_side,pixel_qr16_fr4_210um_r5_05_r4_03_via_row6_side_mm_coords,TUNE,,,43.247,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r5_05_r4_03_via_row6_side_home_20260802_013129,home,pixel_qr_bpf_fr4_210um_home_r5_via_notch_1to10,fr4_25db_rl6,fr4_i7_score_v1,R5 via-aware 5 GHz notch probe; base=pixel_qr16_fr4_210um_r4_03_toggle02_03_add04_02_keep_a03 (balanced passband base); via_set=row6_side; via_count=2; via_diameter_mm=0.18; via_pad_diameter_mm=0.3; one mirrored pair on dense row-6 side metal. Guard 6G/8G S21 before expanding this family.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r5_05_r4_03_via_row6_side,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r5_via_notch_1to10\pixel_qr16_fr4_210um_r5_05_r4_03_via_row6_side_mm_coords_rfpro.csv,fr4_25db_rl6,-11.76,-2.61,-11.47,-14.70,-17.52,-14.70,12.09,-0.27,-0.27,-13.24,2.39,-9.70,-9.70,-8.09,-5.73,-5.73,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r5_via_notch_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r5_05_r4_03_via_row6_side_home_20260802_013129
pixel_qr16_fr4_210um_r5_07_r4_03_via_mid_edge_upper,pixel_qr16_fr4_210um_r5_07_r4_03_via_mid_edge_upper_mm_coords,TUNE,,,29.569,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r5_07_r4_03_via_mid_edge_upper_home_20260802_012805,home,pixel_qr_bpf_fr4_210um_home_r5_via_notch_1to10,fr4_25db_rl6,fr4_i7_score_v1,R5 via-aware 5 GHz notch probe; base=pixel_qr16_fr4_210um_r4_03_toggle02_03_add04_02_keep_a03 (balanced passband base); via_set=mid_edge_upper; via_count=4; via_diameter_mm=0.18; via_pad_diameter_mm=0.3; two mirrored pairs: center row plus upper side stub. Guard 6G/8G S21 before expanding this family.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r5_07_r4_03_via_mid_edge_upper,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r5_via_notch_1to10\pixel_qr16_fr4_210um_r5_07_r4_03_via_mid_edge_upper_mm_coords_rfpro.csv,fr4_25db_rl6,-52.97,-47.46,-37.57,-40.26,-62.46,-47.46,30.39,-0.02,-0.02,27.97,-42.46,-35.26,-42.46,-26.39,-5.98,-5.98,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r5_via_notch_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r5_07_r4_03_via_mid_edge_upper_home_20260802_012805
pixel_qr16_fr4_210um_r5_08_r4_03_via_mid_inner_center,pixel_qr16_fr4_210um_r5_08_r4_03_via_mid_inner_center_mm_coords,TUNE,,,45.506,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r5_08_r4_03_via_mid_inner_center_home_20260802_013535,home,pixel_qr_bpf_fr4_210um_home_r5_via_notch_1to10,fr4_25db_rl6,fr4_i7_score_v1,R5 via-aware 5 GHz notch probe; base=pixel_qr16_fr4_210um_r4_03_toggle02_03_add04_02_keep_a03 (balanced passband base); via_set=mid_inner_center; via_count=4; via_diameter_mm=0.18; via_pad_diameter_mm=0.3; two mirrored pairs: center row plus center bridge. Guard 6G/8G S21 before expanding this family.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r5_08_r4_03_via_mid_inner_center,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r5_via_notch_1to10\pixel_qr16_fr4_210um_r5_08_r4_03_via_mid_inner_center_mm_coords_rfpro.csv,fr4_25db_rl6,-22.83,-13.65,-1.73,-1.09,-10.72,-13.65,12.98,-0.35,-0.35,-2.17,-8.65,3.91,-8.65,-8.98,-5.65,-5.65,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r5_via_notch_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r5_08_r4_03_via_mid_inner_center_home_20260802_013535
pixel_qr16_fr4_210um_r5_13_r4_02_via_mid_edge,pixel_qr16_fr4_210um_r5_13_r4_02_via_mid_edge_mm_coords,TUNE,,,35.45,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r5_13_r4_02_via_mid_edge_home_20260802_012835,home,pixel_qr_bpf_fr4_210um_home_r5_via_notch_1to10,fr4_25db_rl6,fr4_i7_score_v1,R5 via-aware 5 GHz notch probe; base=pixel_qr16_fr4_210um_r4_02_toggle02_03_add04_02_keep_a02 (best high-side suppression base); via_set=mid_edge; via_count=2; via_diameter_mm=0.18; via_pad_diameter_mm=0.3; one mirrored pair on the main center row near the side edge. Guard 6G/8G S21 before expanding this family.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r5_13_r4_02_via_mid_edge,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r5_via_notch_1to10\pixel_qr16_fr4_210um_r5_13_r4_02_via_mid_edge_mm_coords_rfpro.csv,fr4_25db_rl6,-22.02,-7.63,-9.21,-14.69,-13.25,-14.69,13.21,-0.60,-0.61,-2.98,-2.63,-9.69,-9.69,-9.21,-5.40,-5.39,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r5_via_notch_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r5_13_r4_02_via_mid_edge_home_20260802_012835
pixel_qr16_fr4_210um_r5_14_r4_02_via_mid_inner,pixel_qr16_fr4_210um_r5_14_r4_02_via_mid_inner_mm_coords,TUNE,,,37.066,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r5_14_r4_02_via_mid_inner_home_20260802_013212,home,pixel_qr_bpf_fr4_210um_home_r5_via_notch_1to10,fr4_25db_rl6,fr4_i7_score_v1,R5 via-aware 5 GHz notch probe; base=pixel_qr16_fr4_210um_r4_02_toggle02_03_add04_02_keep_a02 (best high-side suppression base); via_set=mid_inner; via_count=2; via_diameter_mm=0.18; via_pad_diameter_mm=0.3; one mirrored pair on the main center row inside the side edge. Guard 6G/8G S21 before expanding this family.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r5_14_r4_02_via_mid_inner,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r5_via_notch_1to10\pixel_qr16_fr4_210um_r5_14_r4_02_via_mid_inner_mm_coords_rfpro.csv,fr4_25db_rl6,-15.26,-2.89,-1.75,-2.23,-16.13,-2.89,2.21,-4.32,-4.37,-9.74,2.11,2.77,2.11,1.79,-1.68,-1.63,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r5_via_notch_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r5_14_r4_02_via_mid_inner_home_20260802_013212
pixel_qr16_fr4_210um_r5_15_r4_02_via_center_bridge,pixel_qr16_fr4_210um_r5_15_r4_02_via_center_bridge_mm_coords,TUNE,,,34.144,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r5_15_r4_02_via_center_bridge_home_20260802_013250,home,pixel_qr_bpf_fr4_210um_home_r5_via_notch_1to10,fr4_25db_rl6,fr4_i7_score_v1,R5 via-aware 5 GHz notch probe; base=pixel_qr16_fr4_210um_r4_02_toggle02_03_add04_02_keep_a02 (best high-side suppression base); via_set=center_bridge; via_count=2; via_diameter_mm=0.18; via_pad_diameter_mm=0.3; one mirrored pair on the center bridge close to the feed axis. Guard 6G/8G S21 before expanding this family.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r5_15_r4_02_via_center_bridge,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r5_via_notch_1to10\pixel_qr16_fr4_210um_r5_15_r4_02_via_center_bridge_mm_coords_rfpro.csv,fr4_25db_rl6,-5.90,-0.52,-2.18,-10.50,-18.67,-10.50,10.02,-0.67,-0.67,-19.10,4.48,-5.50,-5.50,-6.02,-5.33,-5.33,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r5_via_notch_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r5_15_r4_02_via_center_bridge_home_20260802_013250
pixel_qr16_fr4_210um_r5_16_r4_02_via_upper_side,pixel_qr16_fr4_210um_r5_16_r4_02_via_upper_side_mm_coords,TUNE,,,25.473,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r5_16_r4_02_via_upper_side_home_20260802_013324,home,pixel_qr_bpf_fr4_210um_home_r5_via_notch_1to10,fr4_25db_rl6,fr4_i7_score_v1,R5 via-aware 5 GHz notch probe; base=pixel_qr16_fr4_210um_r4_02_toggle02_03_add04_02_keep_a02 (best high-side suppression base); via_set=upper_side; via_count=2; via_diameter_mm=0.18; via_pad_diameter_mm=0.3; one mirrored pair on upper side-stub metal. Guard 6G/8G S21 before expanding this family.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r5_16_r4_02_via_upper_side,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r5_via_notch_1to10\pixel_qr16_fr4_210um_r5_16_r4_02_via_upper_side_mm_coords_rfpro.csv,fr4_25db_rl6,-12.54,-2.49,-12.11,-15.66,-17.88,-15.66,13.17,-0.22,-0.22,-12.46,2.51,-10.66,-10.66,-9.17,-5.78,-5.78,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r5_via_notch_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r5_16_r4_02_via_upper_side_home_20260802_013324
