candidate,cell,status,error_class,failed_step,elapsed_s,run_id,profile_id,pipeline_id,target_profile_id,score_version,notes,project_id,round_id,candidate_id,source,target_profile,s21_5g_db,s21_6g_db,s21_7g_db,s21_8g_db,s21_9g_db,passband_min_s21_db,passband_ripple_db,worst_s11_6_8_db,worst_s22_6_8_db,margin_s21_5g_db,margin_s21_6g_db,margin_s21_8g_db,margin_passband_min_s21_db,margin_passband_ripple_db,margin_worst_s11_6_8_db,margin_worst_s22_6_8_db,run_dir
pixel_qr16_fr4_210um_r7_02_d0p18_add_r07c03,pixel_qr16_fr4_210um_r7_02_d0p18_add_r07c03_mm_coords,TUNE,,,61.145,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r7_02_d0p18_add_r07c03_home_20260802_021620,home,pixel_qr_bpf_fr4_210um_home_r7_via_metal_trim_1to10,fr4_25db_rl6,fr4_i7_score_v1,R7 local metal trim around fixed row8 c04/c11 grounded-via pair; base=pixel_qr16_fr4_210um_r6_08_r4_02_via_r08c04_d0p18 (best balanced 5G notch/passband); op=add_r07c03; add upper outer shoulder near the shorted stub. Objective: keep the 5 GHz notch while recovering 6-8 GHz passband edge loss.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r7_02_d0p18_add_r07c03,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r7_via_metal_trim_1to10\pixel_qr16_fr4_210um_r7_02_d0p18_add_r07c03_mm_coords_rfpro.csv,fr4_25db_rl6,-26.61,-19.46,-8.08,-3.17,-6.94,-19.46,18.36,-0.12,-0.12,1.61,-14.46,1.83,-14.46,-14.36,-5.88,-5.88,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r7_via_metal_trim_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r7_02_d0p18_add_r07c03_home_20260802_021620
pixel_qr16_fr4_210um_r7_04_d0p18_add_r09c04,pixel_qr16_fr4_210um_r7_04_d0p18_add_r09c04_mm_coords,TUNE,,,29.553,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r7_04_d0p18_add_r09c04_home_20260802_020806,home,pixel_qr_bpf_fr4_210um_home_r7_via_metal_trim_1to10,fr4_25db_rl6,fr4_i7_score_v1,R7 local metal trim around fixed row8 c04/c11 grounded-via pair; base=pixel_qr16_fr4_210um_r6_08_r4_02_via_r08c04_d0p18 (best balanced 5G notch/passband); op=add_r09c04; add metal below the via pair to tune lower-side current return. Objective: keep the 5 GHz notch while recovering 6-8 GHz passband edge loss.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r7_04_d0p18_add_r09c04,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r7_via_metal_trim_1to10\pixel_qr16_fr4_210um_r7_04_d0p18_add_r09c04_mm_coords_rfpro.csv,fr4_25db_rl6,-15.25,-2.84,-1.93,-2.12,-16.12,-2.84,2.15,-4.44,-4.40,-9.75,2.16,2.88,2.16,1.85,-1.56,-1.60,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r7_via_metal_trim_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r7_04_d0p18_add_r09c04_home_20260802_020806
pixel_qr16_fr4_210um_r7_05_d0p18_add_r09c05,pixel_qr16_fr4_210um_r7_05_d0p18_add_r09c05_mm_coords,TUNE,,,46.667,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r7_05_d0p18_add_r09c05_home_20260802_020255,home,pixel_qr_bpf_fr4_210um_home_r7_via_metal_trim_1to10,fr4_25db_rl6,fr4_i7_score_v1,R7 local metal trim around fixed row8 c04/c11 grounded-via pair; base=pixel_qr16_fr4_210um_r6_08_r4_02_via_r08c04_d0p18 (best balanced 5G notch/passband); op=add_r09c05; add lower inner shoulder near the shorted stub. Objective: keep the 5 GHz notch while recovering 6-8 GHz passband edge loss.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r7_05_d0p18_add_r09c05,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r7_via_metal_trim_1to10\pixel_qr16_fr4_210um_r7_05_d0p18_add_r09c05_mm_coords_rfpro.csv,fr4_25db_rl6,-15.55,-3.31,-2.06,-2.01,-16.34,-3.31,2.62,-3.76,-3.71,-9.45,1.69,2.99,1.69,1.38,-2.24,-2.29,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r7_via_metal_trim_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r7_05_d0p18_add_r09c05_home_20260802_020255
pixel_qr16_fr4_210um_r7_06_d0p18_remove_r08c03,pixel_qr16_fr4_210um_r7_06_d0p18_remove_r08c03_mm_coords,TUNE,,,38.553,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r7_06_d0p18_remove_r08c03_home_20260802_020727,home,pixel_qr_bpf_fr4_210um_home_r7_via_metal_trim_1to10,fr4_25db_rl6,fr4_i7_score_v1,R7 local metal trim around fixed row8 c04/c11 grounded-via pair; base=pixel_qr16_fr4_210um_r6_08_r4_02_via_r08c04_d0p18 (best balanced 5G notch/passband); op=remove_r08c03; open the outer neighbor next to the via pixel. Objective: keep the 5 GHz notch while recovering 6-8 GHz passband edge loss.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r7_06_d0p18_remove_r08c03,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r7_via_metal_trim_1to10\pixel_qr16_fr4_210um_r7_06_d0p18_remove_r08c03_mm_coords_rfpro.csv,fr4_25db_rl6,-11.12,-0.78,-0.87,-3.91,-16.62,-3.91,3.35,-3.30,-3.25,-13.88,4.22,1.09,1.09,0.65,-2.70,-2.75,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r7_via_metal_trim_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r7_06_d0p18_remove_r08c03_home_20260802_020727
pixel_qr16_fr4_210um_r7_07_d0p18_remove_r08c05,pixel_qr16_fr4_210um_r7_07_d0p18_remove_r08c05_mm_coords,TUNE,,,44.607,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r7_07_d0p18_remove_r08c05_home_20260802_021041,home,pixel_qr_bpf_fr4_210um_home_r7_via_metal_trim_1to10,fr4_25db_rl6,fr4_i7_score_v1,R7 local metal trim around fixed row8 c04/c11 grounded-via pair; base=pixel_qr16_fr4_210um_r6_08_r4_02_via_r08c04_d0p18 (best balanced 5G notch/passband); op=remove_r08c05; open the inner neighbor next to the via pixel. Objective: keep the 5 GHz notch while recovering 6-8 GHz passband edge loss.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r7_07_d0p18_remove_r08c05,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r7_via_metal_trim_1to10\pixel_qr16_fr4_210um_r7_07_d0p18_remove_r08c05_mm_coords_rfpro.csv,fr4_25db_rl6,-17.41,-21.64,-14.76,-4.40,-15.34,-41.45,39.14,-0.13,-0.13,-7.59,-16.64,0.60,-36.45,-35.14,-5.87,-5.87,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r7_via_metal_trim_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r7_07_d0p18_remove_r08c05_home_20260802_021041
pixel_qr16_fr4_210um_r7_08_d0p18_remove_r08c02,pixel_qr16_fr4_210um_r7_08_d0p18_remove_r08c02_mm_coords,TUNE,,,36.793,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r7_08_d0p18_remove_r08c02_home_20260802_021721,home,pixel_qr_bpf_fr4_210um_home_r7_via_metal_trim_1to10,fr4_25db_rl6,fr4_i7_score_v1,R7 local metal trim around fixed row8 c04/c11 grounded-via pair; base=pixel_qr16_fr4_210um_r6_08_r4_02_via_r08c04_d0p18 (best balanced 5G notch/passband); op=remove_r08c02; shorten the side row before the via pair. Objective: keep the 5 GHz notch while recovering 6-8 GHz passband edge loss.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r7_08_d0p18_remove_r08c02,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r7_via_metal_trim_1to10\pixel_qr16_fr4_210um_r7_08_d0p18_remove_r08c02_mm_coords_rfpro.csv,fr4_25db_rl6,-11.01,-0.74,-0.88,-4.07,-17.02,-4.07,3.51,-3.17,-3.18,-13.99,4.26,0.93,0.93,0.49,-2.83,-2.82,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r7_via_metal_trim_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r7_08_d0p18_remove_r08c02_home_20260802_021721
pixel_qr16_fr4_210um_r7_10_d0p18_add_r07c04_remove_r08c03,pixel_qr16_fr4_210um_r7_10_d0p18_add_r07c04_remove_r08c03_mm_coords,TUNE,,,43.835,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r7_10_d0p18_add_r07c04_remove_r08c03_home_20260802_020835,home,pixel_qr_bpf_fr4_210um_home_r7_via_metal_trim_1to10,fr4_25db_rl6,fr4_i7_score_v1,R7 local metal trim around fixed row8 c04/c11 grounded-via pair; base=pixel_qr16_fr4_210um_r6_08_r4_02_via_r08c04_d0p18 (best balanced 5G notch/passband); op=add_r07c04_remove_r08c03; recover 6G above the via while opening the outer row8 neighbor. Objective: keep the 5 GHz notch while recovering 6-8 GHz passband edge loss.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r7_10_d0p18_add_r07c04_remove_r08c03,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r7_via_metal_trim_1to10\pixel_qr16_fr4_210um_r7_10_d0p18_add_r07c04_remove_r08c03_mm_coords_rfpro.csv,fr4_25db_rl6,-27.26,-20.08,-8.68,-3.58,-8.47,-20.08,18.91,-0.12,-0.11,2.26,-15.08,1.42,-15.08,-14.91,-5.88,-5.89,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r7_via_metal_trim_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r7_10_d0p18_add_r07c04_remove_r08c03_home_20260802_020835
pixel_qr16_fr4_210um_r7_11_d0p18_add_r09c04_remove_r08c05,pixel_qr16_fr4_210um_r7_11_d0p18_add_r09c04_remove_r08c05_mm_coords,TUNE,,,35.617,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r7_11_d0p18_add_r09c04_remove_r08c05_home_20260802_021125,home,pixel_qr_bpf_fr4_210um_home_r7_via_metal_trim_1to10,fr4_25db_rl6,fr4_i7_score_v1,R7 local metal trim around fixed row8 c04/c11 grounded-via pair; base=pixel_qr16_fr4_210um_r6_08_r4_02_via_r08c04_d0p18 (best balanced 5G notch/passband); op=add_r09c04_remove_r08c05; recover lower-side coupling while opening the inner row8 neighbor. Objective: keep the 5 GHz notch while recovering 6-8 GHz passband edge loss.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r7_11_d0p18_add_r09c04_remove_r08c05,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r7_via_metal_trim_1to10\pixel_qr16_fr4_210um_r7_11_d0p18_add_r09c04_remove_r08c05_mm_coords_rfpro.csv,fr4_25db_rl6,-17.27,-21.05,-18.63,-4.21,-15.47,-40.85,38.43,-0.13,-0.13,-7.73,-16.05,0.79,-35.85,-34.43,-5.87,-5.87,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r7_via_metal_trim_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r7_11_d0p18_add_r09c04_remove_r08c05_home_20260802_021125
pixel_qr16_fr4_210um_r7_15_d0p22_add_r07c05,pixel_qr16_fr4_210um_r7_15_d0p22_add_r07c05_mm_coords,TUNE,,,29.38,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r7_15_d0p22_add_r07c05_home_20260802_020225,home,pixel_qr_bpf_fr4_210um_home_r7_via_metal_trim_1to10,fr4_25db_rl6,fr4_i7_score_v1,R7 local metal trim around fixed row8 c04/c11 grounded-via pair; base=pixel_qr16_fr4_210um_r6_09_r4_02_via_r08c04_d0p22 (stronger 5G notch with 6G cost); op=add_r07c05; add upper inner shoulder near the shorted stub. Objective: keep the 5 GHz notch while recovering 6-8 GHz passband edge loss.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r7_15_d0p22_add_r07c05,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r7_via_metal_trim_1to10\pixel_qr16_fr4_210um_r7_15_d0p22_add_r07c05_mm_coords_rfpro.csv,fr4_25db_rl6,-26.65,-19.05,-6.29,-4.36,-8.27,-19.05,17.90,-0.13,-0.13,1.65,-14.05,0.64,-14.05,-13.90,-5.87,-5.87,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r7_via_metal_trim_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r7_15_d0p22_add_r07c05_home_20260802_020225
pixel_qr16_fr4_210um_r7_16_d0p22_add_r09c04,pixel_qr16_fr4_210um_r7_16_d0p22_add_r09c04_mm_coords,TUNE,,,50.969,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r7_16_d0p22_add_r09c04_home_20260802_020636,home,pixel_qr_bpf_fr4_210um_home_r7_via_metal_trim_1to10,fr4_25db_rl6,fr4_i7_score_v1,R7 local metal trim around fixed row8 c04/c11 grounded-via pair; base=pixel_qr16_fr4_210um_r6_09_r4_02_via_r08c04_d0p22 (stronger 5G notch with 6G cost); op=add_r09c04; add metal below the via pair to tune lower-side current return. Objective: keep the 5 GHz notch while recovering 6-8 GHz passband edge loss.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r7_16_d0p22_add_r09c04,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r7_via_metal_trim_1to10\pixel_qr16_fr4_210um_r7_16_d0p22_add_r09c04_mm_coords_rfpro.csv,fr4_25db_rl6,-16.92,-4.78,-2.01,-1.60,-15.95,-4.78,4.06,-2.40,-2.40,-8.08,0.22,3.40,0.22,-0.06,-3.60,-3.60,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r7_via_metal_trim_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r7_16_d0p22_add_r09c04_home_20260802_020636
