candidate,cell,status,error_class,failed_step,elapsed_s,run_id,profile_id,pipeline_id,target_profile_id,score_version,notes,project_id,round_id,candidate_id,source,target_profile,s21_5g_db,s21_6g_db,s21_7g_db,s21_8g_db,s21_9g_db,passband_min_s21_db,passband_ripple_db,worst_s11_6_8_db,worst_s22_6_8_db,margin_s21_5g_db,margin_s21_6g_db,margin_s21_8g_db,margin_passband_min_s21_db,margin_passband_ripple_db,margin_worst_s11_6_8_db,margin_worst_s22_6_8_db,run_dir
pixel_qr16_fr4_210um_r8_01_d0p16_add_r09c04,pixel_qr16_fr4_210um_r8_01_d0p16_add_r09c04_mm_coords,TUNE,,,30.572,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r8_01_d0p16_add_r09c04_home_20260802_022736,home,pixel_qr_bpf_fr4_210um_home_r8_lower_shoulder_via_refine_1to10,fr4_25db_rl6,fr4_i7_score_v1,R8 lower-shoulder via refinement; base=pixel_qr16_fr4_210um_r6_08_r4_02_via_r08c04_d0p18 (R6/R7 fixed row8 c04/c11 via pair); via_diameter=0.16 mm; op=add_r09c04; single lower outer shoulder; R7 best-balanced mechanism. Objective: deepen the 5 GHz notch while keeping 6 GHz above the guarded passband floor.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r8_01_d0p16_add_r09c04,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r8_lower_shoulder_via_refine_1to10\pixel_qr16_fr4_210um_r8_01_d0p16_add_r09c04_mm_coords_rfpro.csv,fr4_25db_rl6,-14.51,-2.06,-1.95,-2.63,-16.87,-2.63,1.96,-5.16,-5.21,-10.49,2.94,2.37,2.37,2.04,-0.84,-0.79,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r8_lower_shoulder_via_refine_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r8_01_d0p16_add_r09c04_home_20260802_022736
pixel_qr16_fr4_210um_r8_03_d0p16_add_r09c04_r09c05,pixel_qr16_fr4_210um_r8_03_d0p16_add_r09c04_r09c05_mm_coords,TUNE,,,34.799,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r8_03_d0p16_add_r09c04_r09c05_home_20260802_023939,home,pixel_qr_bpf_fr4_210um_home_r8_lower_shoulder_via_refine_1to10,fr4_25db_rl6,fr4_i7_score_v1,R8 lower-shoulder via refinement; base=pixel_qr16_fr4_210um_r6_08_r4_02_via_r08c04_d0p18 (R6/R7 fixed row8 c04/c11 via pair); via_diameter=0.16 mm; op=add_r09c04_r09c05; combined lower shoulder around the via pair. Objective: deepen the 5 GHz notch while keeping 6 GHz above the guarded passband floor.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r8_03_d0p16_add_r09c04_r09c05,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r8_lower_shoulder_via_refine_1to10\pixel_qr16_fr4_210um_r8_03_d0p16_add_r09c04_r09c05_mm_coords_rfpro.csv,fr4_25db_rl6,-14.66,-2.48,-2.00,-2.19,-16.26,-2.48,1.81,-5.02,-5.02,-10.34,2.52,2.81,2.52,2.19,-0.98,-0.98,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r8_lower_shoulder_via_refine_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r8_03_d0p16_add_r09c04_r09c05_home_20260802_023939
pixel_qr16_fr4_210um_r8_05_d0p16_add_r09c04_r10c04,pixel_qr16_fr4_210um_r8_05_d0p16_add_r09c04_r10c04_mm_coords,TUNE,,,36.998,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r8_05_d0p16_add_r09c04_r10c04_home_20260802_024014,home,pixel_qr_bpf_fr4_210um_home_r8_lower_shoulder_via_refine_1to10,fr4_25db_rl6,fr4_i7_score_v1,R8 lower-shoulder via refinement; base=pixel_qr16_fr4_210um_r6_08_r4_02_via_r08c04_d0p18 (R6/R7 fixed row8 c04/c11 via pair); via_diameter=0.16 mm; op=add_r09c04_r10c04; extend the outer lower shoulder vertically. Objective: deepen the 5 GHz notch while keeping 6 GHz above the guarded passband floor.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r8_05_d0p16_add_r09c04_r10c04,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r8_lower_shoulder_via_refine_1to10\pixel_qr16_fr4_210um_r8_05_d0p16_add_r09c04_r10c04_mm_coords_rfpro.csv,fr4_25db_rl6,-14.84,-2.44,-2.09,-2.05,-16.18,-2.44,1.75,-5.17,-5.12,-10.16,2.56,2.95,2.56,2.25,-0.83,-0.88,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r8_lower_shoulder_via_refine_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r8_05_d0p16_add_r09c04_r10c04_home_20260802_024014
pixel_qr16_fr4_210um_r8_08_d0p18_add_r09c04_r09c05,pixel_qr16_fr4_210um_r8_08_d0p18_add_r09c04_r09c05_mm_coords,TUNE,,,36.898,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r8_08_d0p18_add_r09c04_r09c05_home_20260802_022659,home,pixel_qr_bpf_fr4_210um_home_r8_lower_shoulder_via_refine_1to10,fr4_25db_rl6,fr4_i7_score_v1,R8 lower-shoulder via refinement; base=pixel_qr16_fr4_210um_r6_08_r4_02_via_r08c04_d0p18 (R6/R7 fixed row8 c04/c11 via pair); via_diameter=0.18 mm; op=add_r09c04_r09c05; combined lower shoulder around the via pair. Objective: deepen the 5 GHz notch while keeping 6 GHz above the guarded passband floor.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r8_08_d0p18_add_r09c04_r09c05,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r8_lower_shoulder_via_refine_1to10\pixel_qr16_fr4_210um_r8_08_d0p18_add_r09c04_r09c05_mm_coords_rfpro.csv,fr4_25db_rl6,-15.56,-3.39,-1.95,-2.02,-16.30,-3.39,2.71,-3.64,-3.61,-9.44,1.61,2.98,1.61,1.29,-2.36,-2.39,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r8_lower_shoulder_via_refine_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r8_08_d0p18_add_r09c04_r09c05_home_20260802_022659
pixel_qr16_fr4_210um_r8_09_d0p18_add_r10c04,pixel_qr16_fr4_210um_r8_09_d0p18_add_r10c04_mm_coords,TUNE,,,40.75,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r8_09_d0p18_add_r10c04_home_20260802_023302,home,pixel_qr_bpf_fr4_210um_home_r8_lower_shoulder_via_refine_1to10,fr4_25db_rl6,fr4_i7_score_v1,R8 lower-shoulder via refinement; base=pixel_qr16_fr4_210um_r6_08_r4_02_via_r08c04_d0p18 (R6/R7 fixed row8 c04/c11 via pair); via_diameter=0.18 mm; op=add_r10c04; move the lower shoulder one row farther from the via pair. Objective: deepen the 5 GHz notch while keeping 6 GHz above the guarded passband floor.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r8_09_d0p18_add_r10c04,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r8_lower_shoulder_via_refine_1to10\pixel_qr16_fr4_210um_r8_09_d0p18_add_r10c04_mm_coords_rfpro.csv,fr4_25db_rl6,-15.43,-3.04,-1.84,-2.27,-16.40,-3.04,2.35,-4.10,-4.14,-9.57,1.96,2.73,1.96,1.65,-1.90,-1.86,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r8_lower_shoulder_via_refine_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r8_09_d0p18_add_r10c04_home_20260802_023302
pixel_qr16_fr4_210um_r8_10_d0p18_add_r09c04_r10c04,pixel_qr16_fr4_210um_r8_10_d0p18_add_r09c04_r10c04_mm_coords,TUNE,,,38.163,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r8_10_d0p18_add_r09c04_r10c04_home_20260802_023224,home,pixel_qr_bpf_fr4_210um_home_r8_lower_shoulder_via_refine_1to10,fr4_25db_rl6,fr4_i7_score_v1,R8 lower-shoulder via refinement; base=pixel_qr16_fr4_210um_r6_08_r4_02_via_r08c04_d0p18 (R6/R7 fixed row8 c04/c11 via pair); via_diameter=0.18 mm; op=add_r09c04_r10c04; extend the outer lower shoulder vertically. Objective: deepen the 5 GHz notch while keeping 6 GHz above the guarded passband floor.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r8_10_d0p18_add_r09c04_r10c04,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r8_lower_shoulder_via_refine_1to10\pixel_qr16_fr4_210um_r8_10_d0p18_add_r09c04_r10c04_mm_coords_rfpro.csv,fr4_25db_rl6,-15.56,-3.19,-2.05,-1.91,-16.14,-3.19,2.49,-3.90,-3.91,-9.44,1.81,3.09,1.81,1.51,-2.10,-2.09,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r8_lower_shoulder_via_refine_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r8_10_d0p18_add_r09c04_r10c04_home_20260802_023224
pixel_qr16_fr4_210um_r8_11_d0p20_add_r09c04,pixel_qr16_fr4_210um_r8_11_d0p20_add_r09c04_mm_coords,TUNE,,,41.032,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r8_11_d0p20_add_r09c04_home_20260802_022543,home,pixel_qr_bpf_fr4_210um_home_r8_lower_shoulder_via_refine_1to10,fr4_25db_rl6,fr4_i7_score_v1,R8 lower-shoulder via refinement; base=pixel_qr16_fr4_210um_r6_08_r4_02_via_r08c04_d0p18 (R6/R7 fixed row8 c04/c11 via pair); via_diameter=0.20 mm; op=add_r09c04; single lower outer shoulder; R7 best-balanced mechanism. Objective: deepen the 5 GHz notch while keeping 6 GHz above the guarded passband floor.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r8_11_d0p20_add_r09c04,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r8_lower_shoulder_via_refine_1to10\pixel_qr16_fr4_210um_r8_11_d0p20_add_r09c04_mm_coords_rfpro.csv,fr4_25db_rl6,-16.26,-3.89,-2.10,-1.76,-16.02,-3.89,3.17,-3.12,-3.13,-8.74,1.11,3.24,1.11,0.83,-2.88,-2.87,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r8_lower_shoulder_via_refine_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r8_11_d0p20_add_r09c04_home_20260802_022543
pixel_qr16_fr4_210um_r8_12_d0p20_add_r09c05,pixel_qr16_fr4_210um_r8_12_d0p20_add_r09c05_mm_coords,TUNE,,,34.679,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r8_12_d0p20_add_r09c05_home_20260802_022624,home,pixel_qr_bpf_fr4_210um_home_r8_lower_shoulder_via_refine_1to10,fr4_25db_rl6,fr4_i7_score_v1,R8 lower-shoulder via refinement; base=pixel_qr16_fr4_210um_r6_08_r4_02_via_r08c04_d0p18 (R6/R7 fixed row8 c04/c11 via pair); via_diameter=0.20 mm; op=add_r09c05; single lower inner shoulder; R7 slightly deeper 5G variant. Objective: deepen the 5 GHz notch while keeping 6 GHz above the guarded passband floor.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r8_12_d0p20_add_r09c05,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r8_lower_shoulder_via_refine_1to10\pixel_qr16_fr4_210um_r8_12_d0p20_add_r09c05_mm_coords_rfpro.csv,fr4_25db_rl6,-15.95,-3.79,-1.88,-1.94,-15.97,-3.79,3.10,-3.21,-3.18,-9.05,1.21,3.06,1.21,0.90,-2.79,-2.82,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r8_lower_shoulder_via_refine_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r8_12_d0p20_add_r09c05_home_20260802_022624
pixel_qr16_fr4_210um_r8_13_d0p20_add_r09c04_r09c05,pixel_qr16_fr4_210um_r8_13_d0p20_add_r09c04_r09c05_mm_coords,TUNE,,,36.962,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r8_13_d0p20_add_r09c04_r09c05_home_20260802_024657,home,pixel_qr_bpf_fr4_210um_home_r8_lower_shoulder_via_refine_1to10,fr4_25db_rl6,fr4_i7_score_v1,R8 lower-shoulder via refinement; base=pixel_qr16_fr4_210um_r6_08_r4_02_via_r08c04_d0p18 (R6/R7 fixed row8 c04/c11 via pair); via_diameter=0.20 mm; op=add_r09c04_r09c05; combined lower shoulder around the via pair. Objective: deepen the 5 GHz notch while keeping 6 GHz above the guarded passband floor.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r8_13_d0p20_add_r09c04_r09c05,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r8_lower_shoulder_via_refine_1to10\pixel_qr16_fr4_210um_r8_13_d0p20_add_r09c04_r09c05_mm_coords_rfpro.csv,fr4_25db_rl6,-16.04,-3.87,-1.93,-1.97,-16.18,-3.87,3.17,-3.13,-3.11,-8.96,1.13,3.03,1.13,0.83,-2.87,-2.89,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r8_lower_shoulder_via_refine_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r8_13_d0p20_add_r09c04_r09c05_home_20260802_024657
pixel_qr16_fr4_210um_r8_14_d0p20_add_r10c04,pixel_qr16_fr4_210um_r8_14_d0p20_add_r10c04_mm_coords,TUNE,,,36.302,pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r8_14_d0p20_add_r10c04_home_20260802_023147,home,pixel_qr_bpf_fr4_210um_home_r8_lower_shoulder_via_refine_1to10,fr4_25db_rl6,fr4_i7_score_v1,R8 lower-shoulder via refinement; base=pixel_qr16_fr4_210um_r6_08_r4_02_via_r08c04_d0p18 (R6/R7 fixed row8 c04/c11 via pair); via_diameter=0.20 mm; op=add_r10c04; move the lower shoulder one row farther from the via pair. Objective: deepen the 5 GHz notch while keeping 6 GHz above the guarded passband floor.,pixel_qr_bpf_fr4_210um,manual,pixel_qr16_fr4_210um_r8_14_d0p20_add_r10c04,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r8_lower_shoulder_via_refine_1to10\pixel_qr16_fr4_210um_r8_14_d0p20_add_r10c04_mm_coords_rfpro.csv,fr4_25db_rl6,-16.01,-3.68,-1.73,-2.13,-16.07,-3.68,2.99,-3.35,-3.31,-8.99,1.32,2.87,1.32,1.01,-2.65,-2.69,D:\OneDrive\4.Code\SIM\projects\pixel_qr_bpf_fr4_210um\results\pixel_qr_bpf_fr4_210um_r8_lower_shoulder_via_refine_1to10\runs\pixel_qr_bpf_fr4_210um_manual_pixel_qr16_fr4_210um_r8_14_d0p20_add_r10c04_home_20260802_023147
