freq_ghz,s11_db,s21_db,s12_db,s22_db
0.5,-27.6172,-0.0480666,-0.0480666,-27.6512
0.55,-26.8444,-0.0532339,-0.0532339,-26.8771
0.6,-26.1442,-0.0584366,-0.0584366,-26.1772
0.65,-25.5052,-0.0636672,-0.0636672,-25.5397
0.7,-24.9182,-0.0689241,-0.0689241,-24.9552
0.75,-24.3762,-0.0742087,-0.0742087,-24.4166
0.8,-23.8736,-0.0795234,-0.0795234,-23.9179
0.85,-23.4059,-0.0848709,-0.0848709,-23.4544
0.9,-22.9691,-0.0902529,-0.0902529,-23.0222
0.95,-22.5601,-0.0956703,-0.0956703,-22.6178
1,-22.1764,-0.101123,-0.101123,-22.2386
1.05,-21.8155,-0.106609,-0.106609,-21.8823
1.1,-21.4755,-0.112127,-0.112127,-21.5466
1.15,-21.1547,-0.117672,-0.117672,-21.2301
1.2,-20.8517,-0.123241,-0.123241,-20.931
1.25,-20.565,-0.128829,-0.128829,-20.6481
1.3,-20.2936,-0.13443,-0.13443,-20.3801
1.35,-20.0363,-0.14004,-0.14004,-20.1261
1.4,-19.7922,-0.145652,-0.145652,-19.8851
1.45,-19.5606,-0.151261,-0.151261,-19.6563
1.5,-19.3405,-0.156861,-0.156861,-19.4388
1.55,-19.1314,-0.162446,-0.162446,-19.232
1.6,-18.9325,-0.168012,-0.168012,-19.0353
1.65,-18.7433,-0.173554,-0.173554,-18.8481
1.7,-18.5632,-0.179067,-0.179067,-18.6698
1.75,-18.3918,-0.184546,-0.184546,-18.4999
1.8,-18.2285,-0.18999,-0.18999,-18.338
1.85,-18.0729,-0.195393,-0.195393,-18.1836
1.9,-17.9247,-0.200755,-0.200755,-18.0364
1.95,-17.7833,-0.206072,-0.206072,-17.8959
2,-17.6486,-0.211345,-0.211345,-17.7618
2.05,-17.5201,-0.216572,-0.216572,-17.6337
2.1,-17.3975,-0.221752,-0.221752,-17.5114
2.15,-17.2806,-0.226888,-0.226888,-17.3945
2.2,-17.1689,-0.23198,-0.23198,-17.2828
2.25,-17.0624,-0.237031,-0.237031,-17.1759
2.3,-16.9606,-0.242045,-0.242045,-17.0737
2.35,-16.8634,-0.247024,-0.247024,-16.9759
2.4,-16.7704,-0.251975,-0.251975,-16.8822
2.45,-16.6816,-0.256905,-0.256905,-16.7926
2.5,-16.5967,-0.261823,-0.261823,-16.7068
2.55,-16.5155,-0.26674,-0.26674,-16.6247
2.6,-16.4378,-0.27167,-0.27167,-16.5462
2.65,-16.3634,-0.276632,-0.276632,-16.4712
2.7,-16.2923,-0.281652,-0.281652,-16.3998
2.75,-16.2242,-0.286764,-0.286764,-16.3322
2.8,-16.1592,-0.29202,-0.29202,-16.2686
2.85,-16.0972,-0.297493,-0.297493,-16.2097
2.9,-16.0384,-0.303305,-0.303305,-16.1565
2.95,-15.9831,-0.309664,-0.309664,-16.111
3,-15.932,-0.316959,-0.316959,-16.077
3.05,-15.8863,-0.326045,-0.326045,-16.0622
3.1,-15.8479,-0.339162,-0.339162,-16.0841
3.15,-15.8113,-0.363983,-0.363983,-16.1855
3.2,-15.6587,-0.431103,-0.431103,-16.3718
3.25,-15.052,-0.473077,-0.473077,-15.652
3.3,-14.9642,-0.413118,-0.413118,-15.3179
3.35,-14.8875,-0.418771,-0.418771,-15.3648
3.4,-14.6257,-0.467844,-0.467844,-15.5138
3.45,-14.0092,-0.598233,-0.598233,-15.9712
3.5,-12.662,-0.972364,-0.972364,-17.9583
3.55,-11.4646,-1.45622,-1.45622,-29.2034
3.6,-12.6689,-0.944598,-0.944598,-19.4213
3.65,-13.77,-0.623876,-0.623876,-16.834
3.7,-14.2804,-0.507151,-0.507151,-16.0306
3.75,-14.5143,-0.458181,-0.458181,-15.6611
3.8,-14.6249,-0.434929,-0.434929,-15.4447
3.85,-14.675,-0.423226,-0.423226,-15.2961
3.9,-14.6927,-0.417421,-0.417421,-15.1823
3.95,-14.6915,-0.414937,-0.414937,-15.0887
4,-14.6786,-0.414462,-0.414462,-15.0075
4.05,-14.6582,-0.415276,-0.415276,-14.9347
4.1,-14.6328,-0.416955,-0.416955,-14.8678
4.15,-14.6039,-0.419234,-0.419234,-14.8053
4.2,-14.5727,-0.421943,-0.421943,-14.7462
4.25,-14.5399,-0.424966,-0.424966,-14.6901
4.3,-14.506,-0.42822,-0.42822,-14.6363
4.35,-14.4715,-0.431648,-0.431648,-14.5848
4.4,-14.4368,-0.435205,-0.435205,-14.5353
4.45,-14.402,-0.438858,-0.438858,-14.4878
4.5,-14.3675,-0.442579,-0.442579,-14.4421
4.55,-14.3335,-0.446348,-0.446348,-14.3983
4.6,-14.3001,-0.450144,-0.450144,-14.3564
4.65,-14.2675,-0.453954,-0.453954,-14.3164
4.7,-14.236,-0.457764,-0.457764,-14.2784
4.75,-14.2056,-0.46156,-0.46156,-14.2425
4.8,-14.1765,-0.465333,-0.465333,-14.2087
4.85,-14.149,-0.469071,-0.469071,-14.1771
4.9,-14.1232,-0.472765,-0.472765,-14.1478
4.95,-14.0992,-0.476404,-0.476404,-14.121
