time_ns,s11_rho,s11_z_ohm,s22_rho,s22_z_ohm
0,-0.00343772532,49.6574052,-0.000362099464,49.9638032
0.009765625,-0.00978920794,49.0305692,0.00171223572,50.1715173
0.01953125,-0.0194307989,48.0939561,0.0057387117,50.5771835
0.029296875,-0.032128594,46.887152,0.0106287402,51.0742924
0.0390625,-0.0469635825,45.514306,0.0148515448,51.5075438
0.048828125,-0.0624057684,44.125995,0.0167182341,51.7002486
0.05859375,-0.0765352507,42.890595,0.0147338822,51.4954216
0.068359375,-0.0873721632,41.9648336,0.0079437745,50.8007383
0.078125,-0.093248737,41.4704921,-0.00380384105,49.6210573
0.087890625,-0.0931431263,41.4793293,-0.0197421903,48.0640018
0.09765625,-0.0868999209,42.0047909,-0.0382519554,46.3157348
0.107421875,-0.0752856516,42.998544,-0.0571046166,44.5980165
0.1171875,-0.0598636725,44.3517573,-0.0738397942,43.1237607
0.126953125,-0.0427129853,45.903668,-0.0862024544,42.0638686
0.13671875,-0.0260502055,47.4611179,-0.0925508288,41.5289224
0.146484375,-0.0118347219,48.8303701,-0.0921505146,41.5624712
0.15625,-0.00143936656,49.8562702,-0.0852938199,42.1409467
0.166015625,0.00454761965,50.4568395,-0.0732208779,43.1774643
0.17578125,0.00635453478,50.6395173,-0.0578618738,44.5302997
0.185546875,0.00489504939,50.4919129,-0.0414580364,46.0192312
0.1953125,0.00151235395,50.1514645,-0.0261439646,47.4522128
0.205078125,-0.00233798091,49.7667472,-0.0135796542,48.6602282
0.21484375,-0.00539387226,49.4635066,-0.00470615231,49.5315892
0.224609375,-0.00681670463,49.3229448,0.000332144233,50.0332255
0.234375,-0.00630298516,49.3736494,0.00209515995,50.2099559
0.244140625,-0.00406553951,49.5950922,0.0016200019,50.1622631
0.25390625,-0.000702837262,49.9297656,0.000122512997,50.0122528
0.263671875,0.00300112792,50.3010162,-0.00129750482,49.8704177
0.2734375,0.00629218559,50.6332028,-0.00187980533,49.8123722
0.283203125,0.00862446587,50.8699494,-0.00131179313,49.8689925
0.29296875,0.00976428166,50.9860563,0.000290294492,50.0290379
0.302734375,0.00980377202,50.9900838,0.00250564061,50.2511935
0.3125,0.00909236132,50.9175791,0.00479235694,50.4815434
0.322265625,0.00811339621,50.8179762,0.00667358255,50.6718418
0.33203125,0.00734382135,50.7398152,0.0078750431,50.7937552
0.341796875,0.00713462139,50.718589,0.00838183762,50.8452687
