freq_ghz,s11_db,s21_db,s12_db,s22_db
0.5,-24.0653,-0.0690897,-0.0690897,-24.0388
0.55,-24.0785,-0.0728889,-0.0728889,-24.0459
0.6,-24.0312,-0.0769403,-0.0769403,-23.9935
0.65,-23.9398,-0.0811881,-0.0811881,-23.898
0.7,-23.8162,-0.0855922,-0.0855922,-23.7713
0.75,-23.6698,-0.0901237,-0.0901237,-23.6228
0.8,-23.5074,-0.0947617,-0.0947617,-23.4591
0.85,-23.3344,-0.0994912,-0.0994912,-23.2854
0.9,-23.155,-0.104302,-0.104302,-23.1058
0.95,-22.9722,-0.109186,-0.109186,-22.9231
1,-22.7885,-0.114141,-0.114141,-22.7397
1.05,-22.6059,-0.119163,-0.119163,-22.5574
1.1,-22.4258,-0.124253,-0.124253,-22.3774
1.15,-22.2494,-0.129414,-0.129414,-22.2008
1.2,-22.0778,-0.13465,-0.13465,-22.0284
1.25,-21.9117,-0.139972,-0.139972,-21.8607
1.3,-21.7519,-0.145393,-0.145393,-21.6982
1.35,-21.5991,-0.150936,-0.150936,-21.5413
1.4,-21.454,-0.156634,-0.156634,-21.39
1.45,-21.3175,-0.162544,-0.162544,-21.2445
1.5,-21.1907,-0.168752,-0.168752,-21.1047
1.55,-21.075,-0.175405,-0.175405,-20.97
1.6,-20.9726,-0.182749,-0.182749,-20.8392
1.65,-20.8861,-0.191213,-0.191213,-20.7091
1.7,-20.8176,-0.201499,-0.201499,-20.5727
1.75,-20.7637,-0.214542,-0.214542,-20.4149
1.8,-20.6994,-0.230406,-0.230406,-20.2135
1.85,-20.5655,-0.24487,-0.24487,-19.9707
1.9,-20.3446,-0.250327,-0.250327,-19.7594
1.95,-20.1248,-0.248011,-0.248011,-19.6347
2,-19.9627,-0.245179,-0.245179,-19.5649
2.05,-19.849,-0.244809,-0.244809,-19.5106
2.1,-19.7648,-0.246794,-0.246794,-19.4563
2.15,-19.6988,-0.250504,-0.250504,-19.3987
2.2,-19.6459,-0.255484,-0.255484,-19.3377
2.25,-19.6038,-0.26149,-0.26149,-19.2739
2.3,-19.572,-0.268435,-0.268435,-19.2073
2.35,-19.5506,-0.276341,-0.276341,-19.1374
2.4,-19.54,-0.285313,-0.285313,-19.0633
2.45,-19.5409,-0.295519,-0.295519,-18.9832
2.5,-19.5534,-0.307169,-0.307169,-18.8944
2.55,-19.5768,-0.320463,-0.320463,-18.7939
2.6,-19.6077,-0.335495,-0.335495,-18.6784
2.65,-19.639,-0.352067,-0.352067,-18.5457
2.7,-19.6582,-0.369438,-0.369438,-18.3967
2.75,-19.6479,-0.386123,-0.386123,-18.2379
2.8,-19.5918,-0.400052,-0.400052,-18.0826
2.85,-19.4845,-0.409325,-0.409325,-17.9473
2.9,-19.337,-0.413229,-0.413229,-17.8452
2.95,-19.1714,-0.412635,-0.412635,-17.781
3,-19.0091,-0.409419,-0.409419,-17.7508
3.05,-18.8627,-0.405531,-0.405531,-17.7465
3.1,-18.7356,-0.402463,-0.402463,-17.7606
3.15,-18.6253,-0.401224,-0.401224,-17.7885
3.2,-18.5249,-0.402614,-0.402614,-17.8295
3.25,-18.424,-0.407626,-0.407626,-17.8877
3.3,-18.3052,-0.418096,-0.418096,-17.9747
3.35,-18.1346,-0.438104,-0.438104,-18.118
3.4,-17.8344,-0.477976,-0.477976,-18.3867
3.45,-17.2064,-0.568345,-0.568345,-18.9978
3.5,-15.7794,-0.81478,-0.81478,-20.9222
3.55,-13.5029,-1.38376,-1.38376,-33.8998
3.6,-13.7793,-1.14599,-1.14599,-21.6519
3.65,-15.4973,-0.700933,-0.700933,-18.4913
3.7,-16.5363,-0.54315,-0.54315,-17.8184
3.75,-17.1167,-0.483344,-0.483344,-17.6138
3.8,-17.4925,-0.459213,-0.459213,-17.5541
3.85,-17.79,-0.453906,-0.453906,-17.5682
3.9,-18.0585,-0.467526,-0.467526,-17.6393
3.95,-18.177,-0.512542,-0.512542,-17.6997
4,-17.7042,-0.574898,-0.574898,-17.449
4.05,-17.084,-0.568631,-0.568631,-16.9879
4.1,-16.9112,-0.529819,-0.529819,-16.769
4.15,-16.919,-0.504106,-0.504106,-16.6902
4.2,-16.9564,-0.490461,-0.490461,-16.6493
4.25,-16.9885,-0.48366,-0.48366,-16.6157
4.3,-17.01,-0.480716,-0.480716,-16.5817
4.35,-17.0215,-0.480082,-0.480082,-16.5452
4.4,-17.0249,-0.480921,-0.480921,-16.5061
4.45,-17.0217,-0.482755,-0.482755,-16.4647
4.5,-17.0133,-0.485293,-0.485293,-16.4214
4.55,-17.0006,-0.488347,-0.488347,-16.3763
4.6,-16.9846,-0.491795,-0.491795,-16.33
4.65,-16.9658,-0.495548,-0.495548,-16.2826
4.7,-16.9448,-0.499546,-0.499546,-16.2343
4.75,-16.922,-0.503742,-0.503742,-16.1855
4.8,-16.8977,-0.508101,-0.508101,-16.1363
4.85,-16.8722,-0.512595,-0.512595,-16.0868
4.9,-16.8459,-0.517202,-0.517202,-16.0373
4.95,-16.8189,-0.521904,-0.521904,-15.988
5,-16.7915,-0.526686,-0.526686,-15.9389
5.05,-16.7639,-0.531536,-0.531536,-15.8903
5.1,-16.7362,-0.536442,-0.536442,-15.8421
5.15,-16.7087,-0.541394,-0.541394,-15.7947
5.2,-16.6815,-0.546386,-0.546386,-15.7482
5.25,-16.6547,-0.551409,-0.551409,-15.7025
5.3,-16.6285,-0.556458,-0.556458,-15.6579
5.35,-16.6031,-0.561527,-0.561527,-15.6146
5.4,-16.5786,-0.566614,-0.566614,-15.5725
5.45,-16.555,-0.571716,-0.571716,-15.5319
5.5,-16.5327,-0.576835,-0.576835,-15.4928
5.55,-16.5115,-0.581974,-0.581974,-15.4553
5.6,-16.4916,-0.587142,-0.587142,-15.4196
5.65,-16.4731,-0.59235,-0.59235,-15.3858
5.7,-16.4559,-0.597613,-0.597613,-15.3537
5.75,-16.4397,-0.60294,-0.60294,-15.3233
5.8,-16.4241,-0.608309,-0.608309,-15.2944
5.85,-16.4089,-0.613637,-0.613637,-15.2664
5.9,-16.3942,-0.618779,-0.618779,-15.2392
5.95,-16.3812,-0.623614,-0.623614,-15.2133
6,-16.3712,-0.628143,-0.628143,-15.1898
6.05,-16.3645,-0.632466,-0.632466,-15.1693
6.1,-16.3611,-0.636686,-0.636686,-15.1522
