"Freq [GHz]","dB(S(Port1,Port1)) []","dB(S(Port2,Port1)) []","dB(S(Port1,Port2)) []","dB(S(Port2,Port2)) []"
0.5,-9.83382884179938,-0.541461039521182,-0.541461039521181,-9.79269129032166
0.55,-10.4701600283105,-0.476023118766748,-0.476023118766749,-10.4309679818423
0.6,-11.042835669432,-0.426172162867402,-0.426172162867406,-11.0062834074278
0.65,-11.5599235885008,-0.38754960528803,-0.387549605288033,-11.5266345106964
0.7,-12.0282894475588,-0.357212128417559,-0.357212128417565,-11.998852758443
0.75,-12.4537913357428,-0.333116215177092,-0.3331162151771,-12.4287789858971
0.8,-12.841449397221,-0.313808106943227,-0.313808106943236,-12.8214205941796
0.85,-13.1955868653665,-0.298231161400404,-0.298231161400414,-13.1810850856018
0.9,-13.5199450796449,-0.285602651953231,-0.28560265195324,-13.5114909097451
0.95,-13.8177767204754,-0.275332916390151,-0.275332916390159,-13.815858756935
1,-14.0919214538669,-0.266971048721819,-0.266971048721823,-14.0969867305787
1.05,-14.3448675860872,-0.260167641929277,-0.260167641929281,-14.3573124706763
1.1,-14.5788026415632,-0.254648730576896,-0.254648730576899,-14.5989647760227
1.15,-14.7956551564934,-0.250197240781662,-0.250197240781665,-14.8238067662621
1.2,-14.9971294701099,-0.246639566972522,-0.246639566972522,-15.0334721952456
1.25,-15.1847348937247,-0.24383571054923,-0.243835710549227,-15.2293961823659
1.3,-15.3598103284114,-0.241671933249445,-0.241671933249444,-15.4128413592177
1.35,-15.5235451666031,-0.24005521284334,-0.240055212843337,-15.584920221054
1.4,-15.6769971341106,-0.238909009056477,-0.238909009056474,-15.7466143125874
1.45,-15.8211075932596,-0.238169994854045,-0.238169994854042,-15.8987907544326
1.5,-15.9567147242734,-0.237785508070858,-0.237785508070858,-16.0422165209684
1.55,-16.0845649225319,-0.237711547016637,-0.237711547016635,-16.1775708058336
1.6,-16.20532268784,-0.237911181486954,-0.237911181486953,-16.3054557525385
1.65,-16.3195792338164,-0.238353284307165,-0.238353284307165,-16.4264057810016
1.7,-16.4278600076365,-0.239011512574529,-0.239011512574528,-16.5408957033938
1.75,-16.5306312801474,-0.239863485111695,-0.239863485111694,-16.6493477924044
1.8,-16.628305941998,-0.240890115308297,-0.240890115308301,-16.7521379403958
1.85,-16.7212486215029,-0.242075067876139,-0.242075067876143,-16.8496010277082
1.9,-16.8097802234766,-0.243404315022101,-0.243404315022104,-16.9420356017414
1.95,-16.8941819744489,-0.244865772809163,-0.244865772809164,-17.0297079547006
2,-16.9746990479152,-0.246449002491737,-0.246449002491739,-17.1128556765155
2.05,-17.0515438331546,-0.248144964704977,-0.248144964704979,-17.1916907500258
2.1,-17.1248989023257,-0.249945816793494,-0.249945816793493,-17.2664022477214
2.15,-17.1949197227789,-0.251844745452577,-0.251844745452578,-17.3371586828765
2.2,-17.2617371546384,-0.25383582834883,-0.253835828348829,-17.404110062585
2.25,-17.3254597675773,-0.25591391957829,-0.25591391957829,-17.4673896857958
2.3,-17.3861760052718,-0.258074554777312,-0.258074554777309,-17.5271157258034
2.35,-17.4439562212218,-0.26031387247621,-0.260313872476206,-17.583392633613
2.4,-17.4988546054675,-0.262628548917583,-0.262628548917579,-17.6363123960537
2.45,-17.5509110182073,-0.26501574408129,-0.265015744081285,-17.6859556803443
2.5,-17.6001527434548,-0.267473057090535,-0.267473057090528,-17.7323928949413
2.55,-17.646596173688,-0.269998489538669,-0.269998489538664,-17.7756851948457
2.6,-17.6902484349644,-0.27259041559059,-0.272590415590583,-17.8158854580851
2.65,-17.7311089612377,-0.27524755799112,-0.275247557991111,-17.8530392588095
2.7,-17.7691710266418,-0.277968969369359,-0.277968969369347,-17.8871858613865
2.75,-17.8044232453583,-0.280754018476982,-0.280754018476972,-17.9183592591401
2.8,-17.8368510504047,-0.283602381255592,-0.28360238125558,-17.9465892811102
2.85,-17.8664381653796,-0.286514036912892,-0.28651403691288,-17.9719027906512
2.9,-17.8931680870212,-0.289489269524306,-0.289489269524293,-17.9943250011974
2.95,-17.9170256016271,-0.292528676100249,-0.292528676100239,-18.0138809375892
3,-17.9379983653142,-0.295633182618811,-0.295633182618802,-18.0305970766943
3.05,-17.9560785873548,-0.298804070291784,-0.298804070291774,-18.0445032096455
3.1,-17.9712648682754,-0.302043015419888,-0.302043015419879,-18.0556345812888
3.15,-17.9835642613716,-0.305352147771957,-0.305352147771953,-18.0640343824217
3.2,-17.9929946497578,-0.308734134764401,-0.308734134764396,-18.0697567001542
3.25,-17.9995875640115,-0.312192302259247,-0.312192302259239,-18.0728700757874
3.3,-18.0033916124075,-0.315730808260669,-0.315730808260665,-18.0734618849976
3.35,-18.0044767635526,-0.319354894379895,-0.319354894379898,-18.0716438527874
3.4,-18.0029398204669,-0.323071253729914,-0.323071253729915,-18.0675591630845
3.45,-17.9989115721175,-0.326888576550832,-0.326888576550837,-18.0613918483552
3.5,-17.9925663282062,-0.330818372931575,-0.330818372931585,-18.0533794948148
3.55,-17.9841348741088,-0.334876237692026,-0.334876237692037,-18.0438308518437
3.6,-17.9739223823662,-0.339083839187256,-0.339083839187269,-18.0331508221264
3.65,-17.9623335633499,-0.343472127742522,-0.343472127742537,-18.0218767562246
3.7,-17.9499084141516,-0.348086665587333,-0.348086665587354,-18.0107323586965
3.75,-17.9373733265552,-0.352996781409543,-0.352996781409563,-18.0007094347771
3.8,-17.9257135648714,-0.358311901180301,-0.35831190118032,-17.9931939774163
3.85,-17.9162718162924,-0.364211955587518,-0.364211955587551,-17.9901620675147
3.9,-17.9108638262128,-0.371006768096259,-0.371006768096283,-17.9944786370619
3.95,-17.9118375830813,-0.379258162991412,-0.379258162991432,-18.0103096582095
4,-17.9217348973668,-0.390043818383418,-0.390043818383438,-18.0434534531862
4.05,-17.9411335187622,-0.405544236616153,-0.405544236616161,-18.1002400917589
4.1,-17.959078330502,-0.430265194541406,-0.430265194541409,-18.1778349609795
4.15,-17.9188355640846,-0.472297157939652,-0.472297157939688,-18.2159825273636
4.2,-17.662936654197,-0.534137890074448,-0.534137890074623,-17.9861499771295
4.25,-17.1390392518862,-0.571415846275,-0.571415846275259,-17.3765874108894
4.3,-16.7257629279034,-0.543449995998581,-0.543449995998634,-16.8978473288649
4.35,-16.5614864011537,-0.502842190393028,-0.502842190392966,-16.7042735238227
4.4,-16.5054768467758,-0.477408261649715,-0.477408261649641,-16.6313795102966
4.45,-16.4732525769392,-0.464365582804878,-0.464365582804819,-16.5898190068411
4.5,-16.4386826939834,-0.458534896887298,-0.458534896887259,-16.5512924829947
4.55,-16.3958082481935,-0.456825604075991,-0.45682560407596,-16.5081846020515
4.6,-16.3442966676504,-0.457582069145479,-0.457582069145468,-16.4590257337325
4.65,-16.2851599574188,-0.45990127992755,-0.459901279927538,-16.4040893919172
4.7,-16.2195714419707,-0.463268239219639,-0.463268239219644,-16.3440691130282
4.75,-16.1485712514572,-0.467374847230918,-0.467374847230927,-16.2796845999172
4.8,-16.0730226629105,-0.472028298164276,-0.472028298164295,-16.211576091915
4.85,-15.9936335606748,-0.477102866961268,-0.477102866961293,-16.1402884513638
4.9,-15.9109890737325,-0.482513397848041,-0.482513397848067,-16.0662812523567
4.95,-15.8255808336125,-0.488200092889391,-0.488200092889415,-15.9899442476838
5,-15.7378300656861,-0.494119423570974,-0.494119423571001,-15.9116118697048
5.05,-15.6481050107728,-0.500238478645193,-0.500238478645214,-15.8315752022542
5.1,-15.5567338511404,-0.506531289950354,-0.506531289950382,-15.7500914030512
5.15,-15.4640142373885,-0.512976300890101,-0.512976300890118,-15.6673909816668
5.2,-15.3702202625233,-0.519554457937304,-0.519554457937336,-15.5836833891308
5.25,-15.275607480274,-0.526247549534005,-0.526247549534005,-15.4991613142409
5.3,-15.1804163608303,-0.533036447906528,-0.53303644790654,-15.4140039995261
5.35,-15.0848744277721,-0.539898867166903,-0.539898867166896,-15.3283798155407
5.4,-14.9891972302723,-0.54680632832957,-0.54680632832956,-15.2424482725327
5.45,-14.8935882848579,-0.553721644016074,-0.553721644016055,-15.1563616030126
5.5,-14.7982381826274,-0.560611501313114,-0.560611501313128,-15.0702660148125
5.55,-14.7033231995123,-0.567578292022268,-0.567578292022469,-14.9843026892047
5.6,-14.6090039334063,-0.575481357435517,-0.575481357436072,-14.8986085803256
5.65,-14.5154246375157,-0.585137196276505,-0.585137196276761,-14.8133170588048
