"Freq [GHz]","dB(S(Port1,Port1)) []","dB(S(Port2,Port1)) []","dB(S(Port1,Port2)) []","dB(S(Port2,Port2)) []"
0.5,-0.00761251097625207,-134.630667541017,-134.630667541017,-0.00307558492749133
0.55,-0.00804169025735201,-133.633409259773,-133.633409259773,-0.00323900216609148
0.6,-0.0084473988949699,-132.654098305934,-132.654098305935,-0.0033914894947917
0.65,-0.00882932502750998,-131.717400594028,-131.717400594028,-0.00353507050788099
0.7,-0.00918827447474952,-130.837687787347,-130.837687787347,-0.00367147929800383
0.75,-0.00952573330344605,-130.022453002682,-130.022453002681,-0.00380214627871716
0.8,-0.00984355226795336,-129.274956697073,-129.274956697073,-0.00392822266853498
0.85,-0.0101437300903785,-128.59603670322,-128.59603670322,-0.00405061946375899
0.9,-0.0104282717291163,-127.985273539406,-127.985273539406,-0.00417004883339714
0.95,-0.0106991008572376,-127.44172012057,-127.441720120569,-0.00428706246110741
1,-0.0109580100378216,-126.964356823766,-126.964356823766,-0.00440208477680048
1.05,-0.0112066362137797,-126.552381686277,-126.552381686277,-0.00451544069546357
1.1,-0.0114464525989365,-126.205407298043,-126.205407298043,-0.00462737823487528
1.15,-0.0116787707534691,-125.923611027485,-125.923611027485,-0.00473808666854043
1.2,-0.0119047486221448,-125.707870400116,-125.707870400116,-0.00484771092756175
1.25,-0.01212540174042,-125.559907767915,-125.559907767915,-0.00495636292030555
1.3,-0.0123416158077923,-125.4824659598,-125.482465959799,-0.00506413035546411
1.35,-0.0125541595062272,-125.479538572497,-125.479538572496,-0.00517108356243349
1.4,-0.0127636968955939,-125.556685153547,-125.556685153547,-0.00527728071693741
1.45,-0.0129707990164021,-125.721474040131,-125.72147404013,-0.00538277180413109
1.5,-0.0131759545218786,-125.984116635159,-125.984116635159,-0.00548760158775083
1.55,-0.0133795792814083,-126.358390333251,-126.358390333251,-0.00559181180092217
1.6,-0.0135820249698546,-126.862996624416,-126.862996624416,-0.00569544273115527
1.65,-0.0137835866983388,-127.523558137213,-127.523558137213,-0.00579853433702559
1.7,-0.0139845097632955,-128.375449577014,-128.375449577013,-0.00590112700575188
1.75,-0.014184995599183,-129.467179159282,-129.467179159282,-0.00600326203821416
1.8,-0.0143852070210029,-130.861031494799,-130.861031494798,-0.00610498192953801
1.85,-0.0145852728393213,-132.611508719226,-132.611508719225,-0.00620633049887548
1.9,-0.0147852919243772,-134.622119642367,-134.622119642367,-0.00630735291016545
1.95,-0.0149853367888867,-136.075842029163,-136.075842029163,-0.00640809561635678
2,-0.0151854567517407,-135.29765164682,-135.29765164682,-0.00650860625207048
2.05,-0.0153856807376573,-132.695179033205,-132.695179033205,-0.00660893349379835
2.1,-0.0155860197612668,-129.884266607867,-129.884266607868,-0.00670912690195671
2.15,-0.0157864691378405,-127.393849066624,-127.393849066624,-0.00680923675552846
2.2,-0.0159870104576274,-125.24639176402,-125.24639176402,-0.00690931388698486
2.25,-0.0161876133558398,-123.378678815771,-123.378678815771,-0.0070094095230513
2.3,-0.0163882371062217,-121.730773012997,-121.730773012997,-0.0071095751350408
2.35,-0.0165888320623931,-120.257110808262,-120.257110808262,-0.00720986230117001
2.4,-0.0167893409682452,-118.924316041874,-118.924316041874,-0.00731032258223597
2.45,-0.0169897001558152,-117.707855244527,-117.707855244527,-0.00741100741132639
2.5,-0.0171898406469523,-116.589440821206,-116.589440821206,-0.00751196799756927
2.55,-0.0173896891732888,-115.555227957521,-115.555227957521,-0.00761325524364809
2.6,-0.0175891691273594,-114.594590114671,-114.594590114671,-0.00771491967646845
2.65,-0.0177882014566975,-113.699284570907,-113.699284570907,-0.00781701139013862
2.7,-0.0179867055117341,-112.862877473457,-112.862877473457,-0.00791958000043655
2.75,-0.0181845998577919,-112.080343170469,-112.080343170469,-0.00802267460972955
2.8,-0.018381803061011,-111.347782888987,-111.347782888987,-0.00812634378142641
2.85,-0.0185782344582103,-110.662227312926,-110.662227312926,-0.00823063552297825
2.9,-0.0187738149206716,-110.021500144494,-110.021500144494,-0.00833559727650277
2.95,-0.018968467622682,-109.424127945646,-109.424127945645,-0.00844127591614748
3,-0.0191621188264455,-108.869287143362,-108.869287143362,-0.00854771775137658
3.05,-0.0193546986963907,-108.356783123166,-108.356783123166,-0.00865496853541934
3.1,-0.0195461421578833,-107.887059550318,-107.887059550317,-0.00876307347816989
3.15,-0.0197363898177166,-107.461238983471,-107.461238983471,-0.00887207726293637
3.2,-0.0199253889670942,-107.081198959749,-107.081198959749,-0.00898202406641799
3.25,-0.0201130946920492,-106.749691572674,-106.749691572674,-0.00909295758145172
3.3,-0.0202994711215608,-106.470519883758,-106.470519883758,-0.00920492104205398
3.35,-0.0204844928505596,-106.248792501102,-106.248792501102,-0.00931795725033538
3.4,-0.020668146583941,-106.091290410834,-106.091290410834,-0.00943210860497905
3.45,-0.0208504330589503,-106.007001532678,-106.007001532678,-0.00954741713094953
3.5,-0.0210313693180667,-106.007916072764,-106.007916072764,-0.00966392451017451
3.55,-0.02121099142336,-106.110245251737,-106.110245251737,-0.0097816721129728
3.6,-0.0213893577280722,-106.336361891256,-106.336361891256,-0.00990070103005958
3.65,-0.0215665528532135,-106.718045124469,-106.718045124469,-0.0100210521049283
3.7,-0.021742692559542,-107.3022528318,-107.3022528318,-0.0101427659665204
3.75,-0.0219179297613289,-108.162244119983,-108.162244119983,-0.0102658830620653
3.8,-0.0220924620029818,-109.421393228297,-109.421393228297,-0.0103904436899871
3.85,-0.0222665408205507,-111.312140231019,-111.312140231019,-0.0105164880328739
3.9,-0.0224404835457902,-114.35610195541,-114.35610195541,-0.0106440561904136
3.95,-0.0226146882968512,-120.091276806664,-120.091276806663,-0.010773188212309
4,-0.0227896531557377,-125.045772821808,-125.045772821809,-0.0109039241311929
4.05,-0.0229660008896299,-115.361821171866,-115.361821171866,-0.0110363039954852
4.1,-0.0231445110745771,-109.908157792138,-109.908157792138,-0.0111703679023393
4.15,-0.0233261621935196,-106.241101884969,-106.241101884969,-0.0113061560306182
4.2,-0.0235121873062623,-103.466775911159,-103.466775911159,-0.0114437086740446
4.25,-0.0237041483837047,-101.242129880347,-101.242129880347,-0.0115830662746068
4.3,-0.0239040366051695,-99.4014838898103,-99.4014838898102,-0.0117242694563041
4.35,-0.0241144092243263,-97.8513999649861,-97.8513999649861,-0.011867359059402
4.4,-0.0243385786411772,-96.5324946187343,-96.5324946187342,-0.0120123761753643
4.45,-0.0245808771085098,-95.4031157352626,-95.4031157352625,-0.0121593621826657
4.5,-0.0248470327866643,-94.4316646227483,-94.4316646227483,-0.0123083587837129
4.55,-0.0251447126265352,-93.5927986591814,-93.5927986591813,-0.0124594080432271
4.6,-0.0254843200661369,-92.8654999916638,-92.8654999916638,-0.0126125524283801
4.65,-0.0258801902745174,-92.232055513286,-92.232055513286,-0.0127678348512257
4.7,-0.0263524203398388,-91.6774692342345,-91.6774692342345,-0.012925298713863
4.75,-0.026929740259579,-91.1890682469105,-91.1890682469104,-0.013084987957105
4.8,-0.0276541400343479,-90.7561908576633,-90.7561908576633,-0.0132469471134328
4.85,-0.0285885567336372,-90.3699115922768,-90.3699115922768,-0.0134112213653028
4.9,-0.0298300884243118,-90.0227892503003,-90.0227892503003,-0.0135778566101393
4.95,-0.0315335971312904,-89.7086367896846,-89.7086367896846,-0.0137468995336801
5,-0.0339557167946385,-89.4223151519408,-89.4223151519408,-0.0139183976938375
5.05,-0.0375408629601901,-89.1595526396041,-89.1595526396041,-0.0140923996178577
