time_ns,s11_rho,s11_z_ohm,s22_rho,s22_z_ohm
0,-0.0125160494,48.7638666,-0.0307385593,47.0178122
0.009765625,-0.0223719054,47.8117645,-0.0712829143,43.3460234
0.01953125,-0.0286732324,47.2126005,-0.108809446,40.1868218
0.029296875,-0.0318170142,46.9164092,-0.12734018,38.7043696
0.0390625,-0.0333196086,46.7754789,-0.111574594,39.9624735
0.048828125,-0.0352277891,46.5970978,-0.0509592443,45.1511684
0.05859375,-0.0393199292,46.2167637,0.0571336647,56.059572
0.068359375,-0.0463900184,45.5666608,0.206051818,75.9528043
0.078125,-0.0558884592,44.7069732,0.380788041,111.495589
0.087890625,-0.0660726365,43.8022388,0.561016499,177.798994
0.09765625,-0.0746365127,43.0547202,0.725481927,314.274742
0.107421875,-0.0796062804,42.62636,0.856604311,647.371033
0.1171875,-0.0801755172,42.5775473,0.94410389,1739.03327
0.126953125,-0.0771541068,42.8372267,0.986732671,7487.31188
0.13671875,-0.0728271789,43.2116579,0.991734028,12047.7909
0.146484375,-0.0702265951,43.4381564,0.972282086,3557.77516
0.15625,-0.0720383303,43.2802468,0.943691998,1725.94651
0.166015625,-0.0795249248,42.6333406,0.919486819,1192.03265
0.17578125,-0.0918715091,41.5858681,0.908379073,1041.45371
0.185546875,-0.106246316,40.3957813,0.912896718,1098.06237
0.1953125,-0.118632589,39.3948567,0.929864667,1375.81486
0.205078125,-0.125212392,38.8721104,0.952407323,2051.16358
0.21484375,-0.123858424,38.9791791,0.972728394,3616.81743
0.224609375,-0.115200836,39.6699471,0.984765739,6514.15149
0.234375,-0.102824941,40.6762227,0.985942587,7063.68433
0.244140625,-0.0924071945,41.540957,0.977585479,4411.39366
0.25390625,-0.0899392504,41.7482327,0.964030603,2730.14111
0.263671875,-0.0995155367,40.9491468,0.950846722,1984.45231
0.2734375,-0.121359079,39.1775007,0.942840813,1699.50004
0.283203125,-0.150757933,36.8992488,0.942519275,1689.71362
0.29296875,-0.178366223,34.8632607,0.949468356,1928.95799
0.302734375,-0.191944044,33.8965558,0.960775449,2499.42367
0.3125,-0.17917888,34.8047753,0.972258741,3554.73907
0.322265625,-0.130879032,38.4267876,0.980022873,4955.72491
0.33203125,-0.0436699011,45.8157363,0.981787386,5440.70006
0.341796875,0.0785857372,58.5288171,0.977553788,4405.09475
0.3515625,0.225099253,79.0487852,0.969433282,3221.53213
0.361328125,0.380188455,111.339363,0.960755553,2498.13121
0.37109375,0.526543903,161.212825,0.954816353,2163.19007
0.380859375,0.648897727,234.817296,0.953721477,2110.82954
0.390625,0.737151724,330.447616,0.957721821,2315.28637
0.400390625,0.788175979,422.089991,0.965239761,2826.8502
0.41015625,0.805863526,465.101556,0.973535501,3728.64702
0.419921875,0.799509368,448.776422,0.979742881,4886.53617
0.4296875,0.781031748,406.687209,0.981891091,5472.14389
0.439453125,0.76184046,369.886602,0.979555013,4841.1745
0.44921875,0.750203868,350.326455,0.973925979,3785.23514
0.458984375,0.749769037,349.6308,0.967308499,3008.89904
0.46875,0.759517211,365.830173,0.962249337,2598.96011
0.478515625,0.775008052,394.460351,0.960623993,2489.61758
0.48828125,0.790410632,427.123438,0.963004651,2653.04245
0.498046875,0.800638278,451.600804,0.968519127,3126.53194
0.5078125,0.802940915,457.462013,0.975227602,3986.75092
0.517578125,0.797536259,443.915601,0.980860161,5174.70448
0.52734375,0.787197068,419.918337,0.98363791,6061.68857
0.537109375,0.776043919,396.516118,0.982883206,5792.21554
0.546875,0.768018735,381.069294,0.979211939,4760.45354
0.556640625,0.765570506,376.567487,0.974257587,3834.63968
0.56640625,0.768966616,382.837879,0.970044821,3288.32086
0.576171875,0.776401768,397.230729,0.968249886,3099.59495
0.5859375,0.784798988,414.681831,0.969615546,3241.1567
0.595703125,0.790976358,428.414782,0.973722805,3755.5812
0.60546875,0.792757299,432.526041,0.979186764,4754.63485
0.615234375,0.789653747,425.406614,0.98419038,6275.26285
0.625,0.782923084,410.666209,0.987152721,7733.7491
0.634765625,0.775025605,394.495028,0.987287867,7816.50066
0.64453125,0.768710266,382.358143,0.984858549,6554.38677
0.654296875,0.766066542,377.471986,0.981044603,5225.54242
0.6640625,0.767868205,380.789758,0.977486888,4391.85586
0.673828125,0.773412671,391.330945,0.975681251,4062.05357
0.68359375,0.780875917,406.362434,0.976444951,4195.37433
0.693359375,0.788024339,421.752274,0.979644569,4862.69391
0.703125,0.793012403,433.120734,0.984274578,6309.12981
0.712890625,0.794983071,437.764598,0.988847144,8916.31328
0.72265625,0.794275098,436.086025,0.991943334,12362.0823
0.732421875,0.792191198,431.21157,0.992722603,13691.1765
0.7421875,0.79043825,427.186319,0.99120862,11324.779
0.751953125,0.790459764,427.235313,0.988255288,8464.47033
0.76171875,0.79290623,432.873048,0.985214554,6713.4079
0.771484375,0.797426273,443.647431,0.983434218,5986.53954
0.78125,0.802837239,457.195171,0.983771384,6111.95497
0.791015625,0.807594969,469.736929,0.986296388,7247.34616
0.80078125,0.810378882,477.367421,0.990288609,10247.1861
0.810546875,0.810575267,477.914166,0.994517778,18190.7793
0.8203125,0.808487446,472.158981,0.997701744,19950
0.830078125,0.805206664,463.364584,0.998971013,19950
0.83984375,0.802202116,455.566581,0.99817236,19950
0.849609375,0.800787356,451.976171,0.995906142,19950
0.859375,0.801659105,454.182457,0.993290568,14854.3916
0.869140625,0.804671656,461.958469,0.991544812,11777.0578
0.87890625,0.808920027,473.341084,0.991545855,11778.5176
0.888671875,0.813091847,485.022141,0.993519656,15381.2791
0.8984375,0.815953073,493.339689,0.996974871,19950
0.908203125,0.816789151,495.819206,1.00089729,19950
0.91796875,0.815645067,492.431918,1.00412864,19950
0.927734375,0.813284844,485.575163,1.00578863,19950
0.9375,0.810894135,478.804328,1.00558683,19950
0.947265625,0.809640835,475.322751,1.0039143,19950
0.95703125,0.810255934,477.025704,1.00168668,19950
0.966796875,0.812784468,484.143716,1.00000129,19950
0.9765625,0.816590824,495.228992,0.999735977,19950
0.986328125,0.82060876,507.44082,1.0012363,19950
0.99609375,0.823738937,517.340277,1.004202,19950
1.00585938,0.825246665,522.235146,1.0078096,19950
1.015625,0.825016736,521.483225,1.01102168,19950
1.02539063,0.823577748,516.821921,1.01296701,19950
1.03515625,0.821893645,511.46228,1.01325253,19950
1.04492188,0.821004008,508.671728,1.01209567,19950
1.0546875,0.821646768,510.6851,1.01023285,19950
1.06445313,0.823999717,518.180903,1.00864189,19950
1.07421875,0.827630755,530.149898,1.00818259,19950
1.08398438,0.831669277,544.068617,1.00928733,19950
1.09375,0.835131154,556.542731,1.01181272,19950
1.10351563,0.837276219,564.538326,1.01510293,19950
1.11328125,0.837868555,566.783501,1.01823759,19950
1.12304688,0.837248243,564.432691,1.02037078,19950
1.1328125,0.836193454,560.476212,1.02103661,19950
1.14257813,0.835627908,558.375782,1.0203111,19950
1.15234375,0.836283102,560.810499,1.01877441,19950
1.16210938,0.838438346,568.958754,1.01729079,19950
1.171875,0.841830597,582.233528,1.01668944,19950
1.18164063,0.845762579,598.351088,1.01746388,19950
1.19140625,0.849365418,613.858185,1.01959855,19950
1.20117188,0.851917235,625.298035,1.02258336,19950
1.2109375,0.853101207,630.74079,1.02560761,19950
1.22070313,0.853111152,630.786876,1.02785975,19950
1.23046875,0.852569861,628.287363,1.02882229,19950
1.24023438,0.852293899,627.020107,1.02845496,19950
1.25,0.852993345,630.241312,1.02720136,19950
1.25976563,0.855016567,639.733976,1.02581973,19950
1.26953125,0.858231462,655.375122,1.0251021,19950
1.27929688,0.862083261,675.075146,1.02558574,19950
1.2890625,0.86580427,695.180194,1.02736182,19950
1.29882813,0.868696443,711.593992,1.03004925,19950
1.30859375,0.870382928,721.503309,1.03294052,19950
1.31835938,0.870938098,724.821994,1.035264,19950
1.328125,0.870851397,724.30183,1.03646542,19950
1.33789063,0.870841391,724.241848,1.03640606,19950
1.34765625,0.871590391,728.757922,1.03540689,19950
1.35742188,0.87349736,740.497337,1.03412491,19950
1.3671875,0.876538345,759.96808,1.03330928,19950
1.37695313,0.880282978,785.303104,1.03352743,19950
1.38671875,0.884058114,812.501062,1.03496144,19950
1.39648438,0.887196495,836.497277,1.03734739,19950
1.40625,0.88927869,853.168508,1.04007774,19950
1.41601563,0.890280658,861.416328,1.04242721,19950
1.42578125,0.89057512,863.868945,1.04381814,19950
1.43554688,0.890788885,865.657717,1.04402844,19950
1.4453125,0.891570466,872.257956,1.04326723,19950
1.45507813,0.893353906,887.680846,1.04209268,19950
1.46484375,0.896204603,913.433864,1.04120408,19950
