freq_ghz,s11_db,s21_db,s12_db,s22_db
0.5,-0.266318,-31.8215,-31.8215,-0.0643789
0.55,-0.288579,-31.0347,-31.0347,-0.0715617
0.6,-0.310106,-30.3212,-30.3212,-0.0787806
0.65,-0.330627,-29.6691,-29.6691,-0.0859876
0.7,-0.349953,-29.0688,-29.0688,-0.0931505
0.75,-0.367967,-28.5127,-28.5127,-0.10025
0.8,-0.38462,-27.9945,-27.9945,-0.107277
0.85,-0.399918,-27.5092,-27.5092,-0.11423
0.9,-0.413913,-27.0525,-27.0525,-0.121112
0.95,-0.426692,-26.6206,-26.6206,-0.12793
1,-0.43837,-26.2107,-26.2107,-0.134694
1.05,-0.449084,-25.8199,-25.8199,-0.141414
1.1,-0.458981,-25.4461,-25.4461,-0.148102
1.15,-0.468221,-25.0874,-25.0874,-0.154768
1.2,-0.476967,-24.742,-24.742,-0.161423
1.25,-0.485385,-24.4086,-24.4086,-0.168076
1.3,-0.493637,-24.0858,-24.0858,-0.174735
1.35,-0.501886,-23.7727,-23.7727,-0.181409
1.4,-0.510289,-23.4684,-23.4684,-0.188103
1.45,-0.518997,-23.172,-23.172,-0.194822
1.5,-0.528155,-22.883,-22.883,-0.201569
1.55,-0.537902,-22.6009,-22.6009,-0.208348
1.6,-0.548367,-22.3252,-22.3252,-0.215159
1.65,-0.559673,-22.0556,-22.0556,-0.222004
1.7,-0.571929,-21.7919,-21.7919,-0.228881
1.75,-0.585239,-21.5339,-21.5339,-0.235789
1.8,-0.59969,-21.2814,-21.2814,-0.242726
1.85,-0.615361,-21.0344,-21.0344,-0.249689
1.9,-0.632312,-20.7929,-20.7929,-0.256674
1.95,-0.650594,-20.5568,-20.5568,-0.263676
2,-0.670234,-20.3262,-20.3262,-0.270691
2.05,-0.691248,-20.1012,-20.1012,-0.277713
2.1,-0.713627,-19.8818,-19.8818,-0.284736
2.15,-0.737344,-19.6681,-19.6681,-0.291754
2.2,-0.762351,-19.4602,-19.4602,-0.29876
2.25,-0.788576,-19.2581,-19.2581,-0.305748
2.3,-0.815927,-19.0619,-19.0619,-0.31271
2.35,-0.844287,-18.8717,-18.8717,-0.31964
2.4,-0.87352,-18.6876,-18.6876,-0.326529
2.45,-0.90347,-18.5096,-18.5096,-0.333372
2.5,-0.933963,-18.3377,-18.3377,-0.34016
2.55,-0.964809,-18.172,-18.172,-0.346887
2.6,-0.995809,-18.0124,-18.0124,-0.353546
2.65,-1.02675,-17.8589,-17.8589,-0.360131
2.7,-1.05743,-17.7115,-17.7115,-0.366636
2.75,-1.08763,-17.5699,-17.5699,-0.373056
2.8,-1.11715,-17.4341,-17.4341,-0.379385
2.85,-1.1458,-17.3038,-17.3038,-0.385622
2.9,-1.17338,-17.1789,-17.1789,-0.391761
2.95,-1.19976,-17.059,-17.059,-0.397802
3,-1.22477,-16.944,-16.944,-0.403743
3.05,-1.24832,-16.8334,-16.8334,-0.409584
3.1,-1.27032,-16.727,-16.727,-0.415326
3.15,-1.29069,-16.6244,-16.6244,-0.420971
3.2,-1.30942,-16.5253,-16.5253,-0.426523
3.25,-1.3265,-16.4292,-16.4292,-0.431984
3.3,-1.34196,-16.3358,-16.3358,-0.437361
3.35,-1.35583,-16.2447,-16.2447,-0.442658
3.4,-1.3682,-16.1556,-16.1556,-0.447883
3.45,-1.37915,-16.0682,-16.0682,-0.453042
3.5,-1.3888,-15.982,-15.982,-0.458146
3.55,-1.39727,-15.8967,-15.8967,-0.463202
3.6,-1.4047,-15.8121,-15.8121,-0.46822
3.65,-1.41125,-15.7279,-15.7279,-0.473211
3.7,-1.41708,-15.6438,-15.6438,-0.478185
3.75,-1.42234,-15.5595,-15.5595,-0.483154
3.8,-1.4272,-15.4749,-15.4749,-0.488128
3.85,-1.43185,-15.3898,-15.3898,-0.49312
3.9,-1.43644,-15.304,-15.304,-0.49814
3.95,-1.44115,-15.2174,-15.2174,-0.503201
4,-1.44615,-15.1299,-15.1299,-0.508312
4.05,-1.4516,-15.0414,-15.0414,-0.513486
4.1,-1.45766,-14.9518,-14.9518,-0.518733
4.15,-1.46448,-14.8611,-14.8611,-0.524061
4.2,-1.47222,-14.7694,-14.7694,-0.52948
4.25,-1.48102,-14.6767,-14.6767,-0.534997
4.3,-1.49101,-14.5829,-14.5829,-0.540618
