time_ns,s11_rho,s11_z_ohm,s22_rho,s22_z_ohm
0,-0.00559538581,49.4435748,-0.00393964014,49.607582
0.009765625,-0.0116283498,48.8505314,-0.0110110871,48.9108836
0.01953125,-0.0172959298,48.2998133,-0.0209733887,47.9457458
0.029296875,-0.0219098561,47.8559894,-0.0328569972,46.8188242
0.0390625,-0.0250659764,47.5546963,-0.0451115212,45.6835687
0.048828125,-0.0267281865,47.3967612,-0.0559232899,44.7038492
0.05859375,-0.027203337,47.3517087,-0.0636259836,44.0180115
0.068359375,-0.0270180926,47.3692681,-0.067096858,43.7122055
0.078125,-0.0267396282,47.3956758,-0.066030779,43.8059219
0.087890625,-0.0267991527,47.3900297,-0.0610154236,44.2493368
0.09765625,-0.0273748569,47.3354558,-0.0533850493,44.9320479
0.107421875,-0.0283697478,47.2412892,-0.0448915275,45.7037141
0.1171875,-0.029487041,47.135754,-0.037281809,46.4058168
0.126953125,-0.0303723805,47.0522909,-0.0318957357,46.9090157
0.13671875,-0.0307695258,47.0148976,-0.0293899469,47.1449161
0.146484375,-0.0306320769,47.0278359,-0.0296553189,47.119879
0.15625,-0.030149855,47.0732554,-0.0319387284,46.9049782
0.166015625,-0.0296793651,47.117611,-0.0351220958,46.6069611
0.17578125,-0.0296028241,47.1248307,-0.0380698028,46.3326356
0.185546875,-0.0301673546,47.0716064,-0.0399415996,46.1592459
0.1953125,-0.0313654134,46.9588457,-0.0403851051,46.1182542
0.205078125,-0.0329054805,46.8142796,-0.0395635235,46.1942178
0.21484375,-0.0342919497,46.6845,-0.0380265241,46.336652
0.224609375,-0.0349947997,46.6188429,-0.0364788619,46.4805011
0.234375,-0.0346559347,46.650487,-0.0355281953,46.569075
0.244140625,-0.0332618666,46.780887,-0.0354934285,46.5723174
0.25390625,-0.0312182982,46.972678,-0.0363292824,46.4944267
0.263671875,-0.0292902787,47.1543228,-0.0376811954,46.3687117
0.2734375,-0.0284135717,47.2371454,-0.0390412055,46.2425739
0.283203125,-0.0294254744,47.1415634,-0.0399442254,46.1590031
0.29296875,-0.03279265,46.8248564,-0.0401345592,46.141407
0.302734375,-0.0384195901,46.3001863,-0.0396466333,46.186528
0.3125,-0.0456013232,45.6387466,-0.0387759489,46.2671499
0.322265625,-0.0531434345,44.9538275,-0.037954815,46.3433076
0.33203125,-0.0596234968,44.3731432,-0.0375794548,46.3781613
0.341796875,-0.0637256396,44.0092034,-0.0378502414,46.3530151
0.3515625,-0.0645573057,43.9357604,-0.0386807104,46.2759768
0.361328125,-0.0618613638,44.1742523,-0.0397064343,46.1809956
0.37109375,-0.0560664485,44.6910113,-0.0403906119,46.1177454
0.380859375,-0.0481646369,45.4048596,-0.0401909916,46.1361911
0.390625,-0.0394542811,46.2043274,-0.0387330932,46.2711217
0.400390625,-0.0312223793,46.9722943,-0.0359336741,46.5312766
0.41015625,-0.0244546847,47.6129071,-0.0320357003,46.8958729
0.419921875,-0.0196493942,48.0729264,-0.0275454189,47.3192991
0.4296875,-0.0167764098,48.3500394,-0.0230934791,47.7427792
0.439453125,-0.015379897,48.4853061,-0.0192651483,48.1098983
0.44921875,-0.014780972,48.5434323,-0.016452374,48.3813925
0.458984375,-0.0143120119,48.5889932,-0.0147709703,48.5444035
0.46875,-0.0135110421,48.6669073,-0.0140634495,48.6131588
0.478515625,-0.0122234497,48.7924159,-0.0139800277,48.6212719
0.48828125,-0.0105916272,48.951938,-0.0141064499,48.6089774
0.498046875,-0.00894970111,49.1129686,-0.0140950087,48.6100899
0.5078125,-0.00766855257,49.2389807,-0.0137577296,48.6428977
0.517578125,-0.00700765079,49.3041115,-0.0130963638,48.7072934
0.52734375,-0.00702243528,49.3026535,-0.0122665381,48.7882106
0.537109375,-0.00755304878,49.2503572,-0.0114951899,48.8635448
0.546875,-0.00829073524,49.1777436,-0.0109840989,48.9135241
0.556640625,-0.00889234384,49.1186033,-0.0108339356,48.9282181
0.56640625,-0.00909942104,49.0982632,-0.0110130977,48.9106869
0.576171875,-0.00882013653,49.1256978,-0.0113780153,48.8749988
0.5859375,-0.00814809383,49.1917761,-0.0117330938,48.8402975
0.595703125,-0.0073156388,49.2737491,-0.0119054786,48.8234594
0.60546875,-0.00660208981,49.3441212,-0.0118064739,48.8331292
0.615234375,-0.00623163636,49.3806956,-0.0114582503,48.8671554
0.625,-0.00629710099,49.3742304,-0.0109783843,48.9140832
0.634765625,-0.00673459869,49.3310453,-0.0105304346,48.95793
0.64453125,-0.0073549357,49.2698764,-0.0102605286,48.9843681
0.654296875,-0.00791745254,49.2144741,-0.0102438466,48.9860026
0.6640625,-0.00821796813,49.1849016,-0.0104599972,48.9648282
0.673828125,-0.00815907947,49.1906952,-0.0108048003,48.9310696
0.68359375,-0.00777894735,49.2281098,-0.0111323857,48.899018
0.693359375,-0.00723053143,49.2821374,-0.011310778,48.8815725
0.703125,-0.00672109966,49.3323772,-0.0112699966,48.8855601
0.712890625,-0.00643537289,49.3605776,-0.0110253533,48.909488
0.72265625,-0.00647033281,49.3571263,-0.0106684084,48.9444205
0.732421875,-0.00680429156,49.3241694,-0.010330164,48.9775457
0.7421875,-0.00730966199,49.2743381,-0.0101310395,48.9970569
0.751953125,-0.00780295848,49.2257456,-0.0101364677,48.9965249
0.76171875,-0.00811263068,49.1952654,-0.0103342245,48.9771479
0.771484375,-0.00813982576,49.1925896,-0.0106411062,48.9470935
0.78125,-0.0078907255,49.2171051,-0.0109355819,48.9182711
0.791015625,-0.00747008615,49.2585302,-0.0111036567,48.9018281
0.80078125,-0.00703983148,49.3009381,-0.0110807323,48.9040705
0.810546875,-0.006758843,49.3286532,-0.0108742217,48.9242755
0.8203125,-0.00672616592,49.3318773,-0.010559138,48.9551192
0.830078125,-0.00694778549,49.3100153,-0.0102489673,48.9855008
0.83984375,-0.00733796326,49.271549,-0.0100531038,49.0046955
0.849609375,-0.00775337902,49.2306273,-0.0100367456,49.006299
0.859375,-0.00804666865,49.2017563,-0.0101978565,48.990509
0.869140625,-0.00811949435,49.1945901,-0.0104692218,48.9639247
0.87890625,-0.00795615085,49.210665,-0.0107442894,48.9369923
0.888671875,-0.00762633632,49.2431384,-0.0109168484,48.9201042
0.8984375,-0.00725714762,49.2795139,-0.0109197838,48.919817
0.908203125,-0.00698538498,49.3063072,-0.0107488093,48.9365499
0.91796875,-0.00690794374,49.3139449,-0.0104628476,48.964549
0.927734375,-0.00704817664,49.3001152,-0.010161401,48.9940814
0.9375,-0.00734980415,49.2703821,-0.00994760608,49.0150374
0.947265625,-0.00769969142,49.2359141,-0.00989068278,49.0206185
0.95703125,-0.00797039942,49.2092626,-0.0100014249,49.0097613
0.966796875,-0.00806658943,49.199796,-0.0102293641,48.9874216
0.9765625,-0.00795845688,49.210438,-0.0104822027,48.9626534
0.986328125,-0.0076905382,49.2368155,-0.0106600226,48.9452415
0.99609375,-0.00736344025,49.2690384,-0.0106915791,48.9421522
1.00585938,-0.0070958617,49.2954135,-0.0105594867,48.9550851
1.015625,-0.00698116348,49.3067235,-0.0103053998,48.9799718
1.02539063,-0.00705430771,49.2995107,-0.0100137144,49.0085566
1.03515625,-0.00728080815,49.2771819,-0.00978012847,49.0314596
1.04492188,-0.00757107917,49.2485811,-0.0096767519,49.041599
1.0546875,-0.00781431831,49.2246272,-0.00972647215,49.0367221
1.06445313,-0.00791916558,49.2143055,-0.0098956731,49.0201292
1.07421875,-0.00784627221,49.2214812,-0.0101075765,48.9993564
1.08398438,-0.00762121793,49.2436426,-0.0102709595,48.9833461
1.09375,-0.00732360836,49.2729637,-0.0103135357,48.9791747
1.10351563,-0.00705689353,49.2992557,-0.0102078104,48.9895336
1.11328125,-0.00691030132,49.3137123,-0.00998018571,49.0118434
1.12304688,-0.00692684917,49.3120802,-0.00970034107,49.0392852
1.1328125,-0.0070888608,49.2961037,-0.00945512344,49.0633439
1.14257813,-0.0073258112,49.2727466,-0.00931671252,49.0769287
1.15234375,-0.00754113351,49.251531,-0.00931671739,49.0769283
1.16210938,-0.00764784066,49.2410205,-0.00943548805,49.0652708
1.171875,-0.00759985992,49.2457462,-0.00961023325,49.0481244
1.18164063,-0.00740782907,49.2646643,-0.00975864747,49.0335663
1.19140625,-0.00713398108,49.2916552,-0.00980918503,49.02861
1.20117188,-0.00686843508,49.3178419,-0.00972687034,49.036683
1.2109375,-0.00669589289,49.3348644,-0.00952535573,49.0564521
1.22070313,-0.00666501949,49.3379109,-0.00926109732,49.0823884
1.23046875,-0.00677154891,49.3273997,-0.00901208381,49.1068408
1.24023438,-0.00696094945,49.308717,-0.00884911786,49.1228502
1.25,-0.00714927164,49.2901478,-0.00881021223,49.126673
1.25976563,-0.00725424145,49.2798004,-0.00888734788,49.1190941
1.26953125,-0.00722511115,49.2826717,-0.00903019135,49.1050623
1.27929688,-0.0070604644,49.2989036,-0.00916513043,49.0918106
1.2890625,-0.00680775793,49.3238274,-0.00922245051,49.0861826
1.29882813,-0.0065451285,49.3497432,-0.00916163744,49.0921536
