freq_ghz,s11_db,s21_db,s22_db,s33_db,s43_db,s44_db,worst_return_db,worst_isolation_db,near_end_isolation_db,far_end_isolation_db,diagonal_isolation_db,s31_db,s41_db,s32_db,s42_db,s13_db,s14_db,s23_db,s24_db
0,0.000873015,-80.0062,0.000856491,0.000853658,-80.0067,0.000861307,0.000873015,-196.578,-201.64,-201.257,-196.578,-201.64,-209.767,-196.578,-201.257,-201.64,-209.769,-196.579,-201.257
0.05,-10.2891,-0.442387,-10.2833,-10.2133,-0.462091,-10.2248,-10.2133,-96.5675,-96.7356,-96.5675,-100.84,-96.7356,-100.84,-102.181,-96.5675,-96.7356,-100.84,-102.181,-96.5675
0.1,-15.721,-0.137363,-15.71,-15.405,-0.166216,-15.4287,-15.405,-89.844,-89.9817,-89.844,-94.7614,-89.9817,-94.7614,-95.4199,-89.844,-89.9817,-94.7614,-95.4199,-89.844
0.15,-18.739,-0.0817657,-18.725,-18.0762,-0.118584,-18.1105,-18.0762,-86.2383,-86.3796,-86.2383,-91.2762,-86.3796,-91.2762,-91.8197,-86.2383,-86.3796,-91.2762,-91.8197,-86.2383
0.2,-20.6361,-0.0647163,-20.6226,-19.5751,-0.109074,-19.6137,-19.5751,-83.7281,-83.8889,-83.7281,-88.7853,-83.8889,-88.7853,-89.3288,-83.7281,-83.8889,-88.7853,-89.3288,-83.7281
0.25,-21.878,-0.0589611,-21.868,-20.413,-0.110777,-20.4487,-20.413,-81.7971,-81.9799,-81.7971,-86.8336,-81.9799,-86.8336,-87.4091,-81.7971,-81.9799,-86.8336,-87.4091,-81.7971
0.3,-22.6929,-0.0577122,-22.6884,-20.849,-0.116955,-20.8765,-20.849,-80.2284,-80.434,-80.2284,-85.2224,-80.434,-85.2224,-85.8407,-80.2284,-80.434,-85.2224,-85.8407,-80.2284
0.35,-23.2136,-0.0586207,-23.2161,-21.0332,-0.125235,-21.0496,-21.0332,-78.9089,-79.1383,-78.9089,-83.846,-79.1383,-83.846,-84.5116,-78.9089,-79.1383,-83.846,-84.5116,-78.9089
0.4,-23.5259,-0.0606935,-23.5358,-21.059,-0.1346,-21.0632,-21.059,-77.7717,-78.0263,-77.7717,-82.6412,-78.0263,-82.6412,-83.3567,-77.7717,-78.0263,-82.6412,-83.3567,-77.7717
0.45,-23.6883,-0.0634537,-23.7053,-20.9864,-0.144557,-20.9783,-20.9783,-76.7741,-77.0551,-76.7741,-81.5674,-77.0551,-81.5674,-82.3344,-76.7741,-77.0551,-81.5674,-82.3344,-76.7741
0.5,-23.7421,-0.0666521,-23.7655,-20.8548,-0.154843,-20.835,-20.835,-75.8868,-76.1955,-75.8868,-80.5972,-76.1955,-80.5972,-81.4166,-75.8868,-76.1955,-80.5972,-81.4166,-75.8868
0.55,-23.7172,-0.07015,-23.7457,-20.6906,-0.165301,-20.6595,-20.6595,-75.0892,-75.4266,-75.0892,-79.7114,-75.4266,-79.7114,-80.5831,-75.0892,-75.4266,-79.7114,-80.5831,-75.0892
0.6,-23.6353,-0.0738658,-23.6675,-20.5114,-0.175824,-20.4683,-20.4683,-74.3665,-74.7328,-74.3665,-78.8959,-74.7328,-78.8959,-79.819,-74.3665,-74.7328,-78.8959,-79.819,-74.3665
0.65,-23.5125,-0.0777484,-23.5468,-20.3292,-0.186332,-20.2709,-20.2709,-73.707,-74.1025,-73.707,-78.1406,-74.1025,-78.1406,-79.1131,-73.707,-74.1025,-78.1406,-79.1131,-73.707
